TCGA_barcode	42MGBA	8MGBA	A172	AM38	CAS1	CCFSTTG1	DBTRG05MG	DKMG	GAMG	GB1	GMS10	GOS3	KALS1	KG1C	KNS42	KNS60	KNS81	KS1	LN18	LN229	M059K	SF126	SF295	SNU1105	SNU201	SNU466	SNU489	SNU626	T98G	U118MG	U251MG	U87MG	YH13	YKG1
TCGA-02-0047-01	0.508497779149163	0.510778504521787	0.515332252421849	0.446938012143842	0.587095369319424	0.532114678220013	0.556952630002397	0.553824355581634	0.509172703606621	0.485244429960284	0.513211212052037	0.538249560436104	0.529066803473273	0.545558638332306	0.547455952335013	0.473966126325502	0.54361615683738	0.465912175149036	0.50347701994659	0.533803883545751	0.477686318846442	0.483152503578877	0.479184653947377	0.558498837140965	0.615328989565286	0.564972860584477	0.567679037237051	0.574339491863858	0.495621907170307	0.488447372334001	0.568579188754294	0.492597234909086	0.511791635250861	0.559709226953715
TCGA-02-0055-01	0.641997228141418	0.6303999068157	0.619799824682319	0.536032804318477	0.698056639132563	0.673300001182389	0.684422022709558	0.680984107187709	0.62550596462235	0.597961277600846	0.644905517063525	0.627026956640094	0.672229259553389	0.630740595431875	0.61632766783296	0.598851819207964	0.659734031715751	0.5655313351056	0.602559011241828	0.628423191694081	0.601977121440987	0.620002477260399	0.60647776142473	0.674036329083496	0.726788962660131	0.648257596837403	0.695327120558415	0.652609052613857	0.616266677137932	0.592999159577969	0.654912415159735	0.602802835029431	0.649948734158791	0.667580525855148
TCGA-02-2483-01	0.530346684451668	0.488520603593878	0.52068386521413	0.449852205320829	0.587623750150134	0.554697187863045	0.556703807082892	0.551506780382293	0.525902500213418	0.492813260078259	0.517206125986892	0.536160664419557	0.543005900213777	0.547796724249139	0.541745796842523	0.475028206737645	0.537133852716575	0.486344277317568	0.522326045685182	0.53618048960514	0.491512039239818	0.507197312359468	0.49200276654069	0.55505265055086	0.597745376783776	0.578154846307129	0.56664007664663	0.570371282773354	0.519336438672345	0.486861477043352	0.555056073363608	0.479642513148409	0.519257064750035	0.565448674278127
TCGA-02-2485-01	0.524213453236488	0.536700881026553	0.515360588135949	0.45413681990059	0.59950139490763	0.552977193132115	0.568431045646963	0.567172908639273	0.523850726193308	0.52706337580011	0.544581267379328	0.569675798580014	0.565370332892594	0.552912991889503	0.575200476110486	0.494716999513412	0.573757796016172	0.477685695770091	0.514742331540619	0.530441184207663	0.49712087619204	0.509469748261713	0.496631475320853	0.563692378454042	0.625620298290711	0.56150163061607	0.58694772472815	0.604193516080222	0.513004570552108	0.494972038951598	0.58766818374899	0.500325218032067	0.535401568394704	0.57464604377837
TCGA-02-2486-01	0.549492876544587	0.582045872291079	0.552961120418387	0.48345653719454	0.634719370972806	0.590242466389178	0.61549443243382	0.615330984225027	0.570886127529135	0.556422036828585	0.593420737976648	0.607037048329497	0.593323545692437	0.599468918367333	0.608168846078416	0.538137264547112	0.624038046443325	0.525691310347284	0.543589648315889	0.574058651817544	0.532898578950096	0.54291525120108	0.532451227604833	0.603875525482054	0.678182037822996	0.599447855300393	0.636646728070722	0.655090838852476	0.549608359165596	0.549625200530785	0.638950118337306	0.562966963374717	0.569640451352272	0.61044208457256
TCGA-06-0125-01	0.58101582298507	0.585279362469357	0.571322183063254	0.494793958290141	0.659238746387852	0.613099528745886	0.616330517812259	0.634271552172142	0.575558357091899	0.559786705561535	0.595238685807902	0.608093590022974	0.621864554447209	0.606161654627765	0.617165612245428	0.545743859699773	0.62143214080472	0.534353226825433	0.560155188376906	0.585174794329509	0.544865875369141	0.557545594921562	0.551701506188942	0.618246969384405	0.682858504270955	0.616102882165845	0.634690641465539	0.64108057698334	0.558004839309025	0.557867095819016	0.636567837630416	0.560966846925319	0.582478995218674	0.639137648999051
TCGA-06-0129-01	0.516386304218986	0.503803981885106	0.508274264590799	0.447569937705021	0.575004335810606	0.540597222898041	0.528803889182873	0.547935946594488	0.507811629613082	0.50845861323648	0.517863209431343	0.548013475105395	0.543289688462442	0.548823423113848	0.556854852257573	0.481812857728547	0.54497783789811	0.490382316714959	0.513015867572306	0.537040781772682	0.486479763720887	0.494632106198606	0.482236163695086	0.547619932499814	0.59672692447416	0.573089609040283	0.559797619246601	0.577021789892591	0.508711810300958	0.49271324659759	0.569561370414746	0.473709527245326	0.502918889873402	0.551066919311833
TCGA-06-0130-01	0.649924959951713	0.63825462651927	0.629592759645806	0.5447140519433	0.715725906493931	0.67845916099725	0.65467597413542	0.696745117696125	0.620176922805615	0.615784090211993	0.662940097719149	0.653605695935882	0.68377002695135	0.661683792587768	0.633132370452685	0.605296851769744	0.676820777080386	0.594305167727497	0.615555645582175	0.643462280885291	0.615418098467085	0.623344736834221	0.616125755644311	0.681350705522757	0.735786585394124	0.671653041894601	0.703490769162492	0.684953516517193	0.632578247437079	0.61879797883137	0.679890865144164	0.615656999514475	0.651555604685722	0.684152289577179
TCGA-06-0132-01	0.451581468160241	0.46561757943479	0.457047144484194	0.402246939228046	0.522305625215875	0.475782122702628	0.498262301920853	0.494779961155686	0.456617289468025	0.437347287538744	0.464981165438368	0.491945070555702	0.478286141980324	0.487884642734555	0.497508710005005	0.421452911896279	0.484711701707776	0.420708861552631	0.456265599721763	0.466196253268164	0.426797111880236	0.429613285131293	0.424672399694655	0.488993208195163	0.542769897579757	0.510800557421719	0.513003774280449	0.518205354491078	0.437748476984071	0.434787725241918	0.504973719553605	0.432063705150875	0.457318904371994	0.507968514941329
TCGA-06-0141-01	0.536796762296996	0.55058332163917	0.537384073316934	0.48633927916705	0.6149477683835	0.570402595863576	0.582879160827447	0.588659836803267	0.546012926363027	0.536607508109104	0.561065839604223	0.578060841600194	0.574701736349535	0.586432687426171	0.578657662350568	0.511521401942358	0.584468173048726	0.513842687218792	0.540806496331908	0.56524341671962	0.521683993823979	0.517374641733326	0.520273109217895	0.582316066196882	0.647070369614831	0.603638231339859	0.601672184381753	0.602464649737989	0.53342140690955	0.530457833426121	0.605961315346522	0.528367318878907	0.54491925231295	0.601768214743707
