TCGA_barcode	253J	253JBV	5637	639V	647V	BC3C	BFTC905	CAL29	HS172T	HT1197	HT1376	J82	JMSU1	KMBC2	KU1919	RT112	RT4	SCABER	SW1710	SW780	T24	TCCSUP	UBLC1	UMUC1	UMUC3	VMCUB1
TCGA-2F-A9KO-01	0.50620063022334	0.504732000739047	0.60393130843282	0.511747947231468	0.573809467981421	0.568724358063652	0.644307666017433	0.701999178483502	0.539542250681192	0.569547470646251	0.567027510633692	0.552913476926223	0.520686849333223	0.692454382786912	0.568890254951619	0.699030645191976	0.750876851501864	0.616968158582382	0.519153449136245	0.704896108201015	0.567217851788708	0.545098907510083	0.58914132341529	0.685361472785258	0.490667670706819	0.604093053148495
TCGA-2F-A9KP-01	0.518450272729771	0.516898945826351	0.613443924576542	0.53133040557765	0.605247017278199	0.582555034818734	0.663677918566498	0.713945487410979	0.544244180649671	0.602560396417612	0.61913110651491	0.560345010635122	0.511732442559948	0.699517005296716	0.592428354582509	0.724549467694614	0.766609966991202	0.614739686970182	0.542552660652121	0.72717749392305	0.583791090572539	0.565755802407474	0.583876473468046	0.689778530967865	0.508567685661873	0.593773892864188
TCGA-2F-A9KQ-01	0.500904710575574	0.497187168893519	0.608229655058491	0.508913121825339	0.593845373039434	0.579034140902298	0.650068943989632	0.709642509085784	0.555734364841726	0.596152138056351	0.585976819698513	0.554714989059286	0.488105574130652	0.689864053923695	0.572109535215895	0.725199929552851	0.758412007524207	0.604707917037923	0.543333315367284	0.718264143009088	0.587051192395468	0.556305818639319	0.583240729206313	0.701690376646406	0.487885141830802	0.578811214152443
TCGA-2F-A9KR-01	0.530704069042364	0.523946912575887	0.630530945988026	0.556035019982156	0.592233443225112	0.64101572560486	0.700424324203525	0.713729430628328	0.537754917485631	0.56042065446959	0.587352260710602	0.551711817380009	0.514818715848058	0.685319859298405	0.622656440376249	0.716578367622545	0.683198837922367	0.660012004328357	0.544863736034227	0.6957511219299	0.584050658142555	0.568034127023258	0.584621535210408	0.685776126765961	0.527151359111002	0.641548398597169
TCGA-2F-A9KT-01	0.530494983689606	0.525150268541399	0.653132065841416	0.560156733951847	0.617818140258645	0.606526861178043	0.70339047623845	0.735877820487991	0.53239824942632	0.641772123664348	0.638703305266139	0.5486925165037	0.528202655614499	0.706361662206193	0.647097435911922	0.759993864892219	0.704339924128827	0.673998098960887	0.566191846866737	0.733645327003287	0.608862160259673	0.592390516079051	0.613489020785196	0.716907635963198	0.52869501492917	0.634157062633584
TCGA-2F-A9KW-01	0.527917597849252	0.51638193549866	0.597508317657695	0.532778407270388	0.595411389983104	0.541780369884928	0.615886386945458	0.671818302539145	0.559446752866717	0.64051820705611	0.601044501498084	0.573413312158081	0.542204365979341	0.645725475983153	0.588926734893135	0.660837782010168	0.685125101589945	0.573146181280632	0.553724874256892	0.672850400652244	0.574774508057064	0.575805951150743	0.604113896428075	0.652355962711355	0.510239842754752	0.556652885988839
TCGA-4Z-AA7M-01	0.512246334514368	0.504518009871374	0.62089157747256	0.552905979681648	0.612313065004168	0.559894313540146	0.651012193998594	0.70128749323727	0.536225559587218	0.602057718039437	0.612684433703994	0.559483135814891	0.542073415034863	0.671928409738208	0.611428500175628	0.689540911075114	0.717092311014242	0.60795845723028	0.544546798036898	0.708855205211942	0.591538214279969	0.569083057689578	0.598340512174487	0.6558809952626	0.519858529759743	0.608154783434312
TCGA-4Z-AA7O-01	0.487665949475261	0.488079451547023	0.638564832718953	0.507078045492022	0.593031443419425	0.595759895828264	0.695697710896631	0.742781200811096	0.560775910952188	0.589009870193226	0.60065837977286	0.564266602813039	0.513411137593898	0.734133133171227	0.575166336498883	0.736686220130736	0.752074131956867	0.650608491014577	0.53712642589841	0.720099050863325	0.585191181086785	0.565226027465944	0.584484881148147	0.714737678940818	0.493243982678425	0.624204775426043
TCGA-4Z-AA7Q-01	0.484283950191759	0.483406842086135	0.574436659496185	0.479332765660111	0.564104183576015	0.541908555127851	0.653974524056545	0.673241432799548	0.480162369536019	0.564069318639275	0.593021273981201	0.500628415974066	0.47648843080689	0.670387779424689	0.568398561710046	0.689871969405411	0.705864931782054	0.609292286431926	0.49949575784736	0.696540873932885	0.52656680839447	0.515978173906408	0.566903027473519	0.638358427127637	0.456191247583991	0.608280361139498
TCGA-4Z-AA7R-01	0.552242800809853	0.547341844391015	0.618481573880342	0.590213439460299	0.632473668728956	0.569725188230229	0.608329224128747	0.653063507737458	0.562998990561681	0.595045758840246	0.585628754410652	0.583607237313763	0.578643279839953	0.636567763951045	0.619758944795568	0.634780809034705	0.662435852644033	0.58915521201464	0.563401860618557	0.663259078284129	0.600451354689946	0.622111388144501	0.639708381441096	0.630089943441336	0.542900416532622	0.603173846617978
TCGA-4Z-AA7S-01	0.51902462006043	0.51613880442101	0.62450309565144	0.510238203687993	0.597880989292833	0.590670123006913	0.668690715498318	0.723700067393401	0.559323555554991	0.603364972507076	0.604952421846727	0.569605093389564	0.507235694621946	0.697879733243473	0.585827482137902	0.734300401658828	0.769998869327134	0.620697384240892	0.551527161512557	0.727601215585123	0.588047948609712	0.557764556863055	0.587107468029278	0.705015563851593	0.503400758328881	0.597578443338371
