TCGA_barcode	C2BBE1	CCK81	CL11	CL14	CL34	CL40	COLO201	COLO320	COLO678	CW2	GP2D	HCC56	HCT116	HCT15	HS255T	HS675T	HS698T	HT115	HT29	HT55	KM12	LOVO	LS1034	LS123	LS180	LS411N	LS513	MDST8	NCIH508	NCIH716	NCIH747	OUMS23	RCM1	RKO	SKCO1	SNU1033	SNU1040	SNU1197	SNU175	SNU407	SNU503	SNU61	SNU81	SNUC1	SNUC2A	SNUC4	SNUC5	SW1116	SW1417	SW1463	SW403	SW48	SW480	SW620	SW837	SW948	T84
TCGA-3L-AA1B-01	0.605764373922684	0.673167379654778	0.627115493008516	0.702401667712475	0.715081998041533	0.69160134409102	0.62733316493208	0.502296364248325	0.581398893748806	0.691065607634751	0.638799803163472	0.773271883356247	0.525482795049661	0.580508583204598	0.515957114479221	0.503645280756798	0.477364690006547	0.694428633503796	0.633374591891302	0.73436549239952	0.582438011950107	0.631670330462823	0.706400466112657	0.569862025633846	0.67964854563947	0.676529903011673	0.690784676009667	0.448617877505303	0.728500328150794	0.517862618458754	0.586206810722586	0.5241009377682	0.656527451209466	0.48470053507941	0.64996551035713	0.68320863004584	0.642966839394724	0.594729200036096	0.583048588614711	0.645193918759359	0.515470274687063	0.69355844281478	0.653392106452209	0.676547932902594	0.54105992064117	0.666527408170999	0.567340519875978	0.663298131568646	0.641003542946022	0.685051812675396	0.715074175514243	0.541169764442216	0.570184572824588	0.592742867251227	0.615136084348834	0.740506954022241	0.685432734548517
TCGA-4N-A93T-01	0.600646184043356	0.680315969790671	0.616060224782624	0.693529376134484	0.732620190935838	0.675493367313015	0.627794379366395	0.458483333084976	0.581112748776802	0.693377460517908	0.663647717111418	0.744650272128591	0.540962315138315	0.599562052375383	0.514997379157823	0.516092816432569	0.494051474040818	0.725298753757084	0.655034636840214	0.710763769138668	0.610155486349978	0.653453016028126	0.686299919823799	0.597983575083679	0.681750850990211	0.685685858227487	0.67879105058779	0.44334513729426	0.751743650515636	0.489435262498248	0.618497616925818	0.517038339747257	0.67093507933976	0.524783187848353	0.658806972743476	0.657781829008577	0.673112636760285	0.61131691391463	0.61545864242796	0.637099290291968	0.497627916836896	0.725572028153503	0.682552420360376	0.699603939174918	0.566454922628226	0.692087983488467	0.588867998923511	0.672232411438173	0.628156804748832	0.65597208894214	0.69194481914216	0.557949942791173	0.555390853000566	0.567046971934368	0.618341298399599	0.733869540002362	0.716877317591343
TCGA-4T-AA8H-01	0.56444463291626	0.677556581686294	0.63414743415758	0.665802438146858	0.757371073357564	0.731983586622776	0.649549657021652	0.451692736287556	0.591530487723942	0.707476362058318	0.674142588659626	0.736924165165954	0.53160261932486	0.587075549364352	0.458806183986972	0.464811327045475	0.45089838362908	0.726104343715147	0.664227013902233	0.715658894780895	0.623795364448843	0.647285638957048	0.689367994442377	0.591288216323709	0.718967107455084	0.689810331820896	0.727620658719575	0.416025989550333	0.745563206558563	0.489170104147072	0.598050239684494	0.509572140855422	0.674517485712149	0.500129266716101	0.692010687997425	0.664790937730174	0.662813509169269	0.616551710185591	0.609679794503515	0.668606571612635	0.506803006670856	0.734471766055675	0.684130338763897	0.726275809165404	0.573967884679577	0.697083516970381	0.592378472225245	0.669412286986107	0.628561682916587	0.66205514526006	0.689185324230342	0.56911909131363	0.531796396630596	0.550417406527269	0.616274752858191	0.732628122403279	0.716522300231624
TCGA-5M-AAT4-01	0.642611799955031	0.725104011307848	0.678903911442734	0.741274598395296	0.76706017071251	0.73132827593324	0.679613584936875	0.514032258503143	0.62839876639515	0.728141077890139	0.703412580542427	0.784478618829589	0.594139997309261	0.639194579350128	0.539737402081459	0.540874735690769	0.520455618658749	0.757777585279211	0.68366278200387	0.774017995125825	0.657011678740797	0.709758007804927	0.739579895033734	0.65287377133192	0.734870735569412	0.733960924379465	0.713853545748602	0.489283881518923	0.77603374353275	0.515416229909567	0.652955263443631	0.567556574038996	0.732722407340895	0.546081326225006	0.718382813039383	0.729094287140092	0.711243964811835	0.676127263288478	0.62131049774754	0.673808395330234	0.565665494105871	0.771486025567801	0.712771660783447	0.736697982462363	0.614102553313312	0.733514612041272	0.629830339195535	0.715057903313509	0.692133412601736	0.705602788191561	0.725181542692028	0.606201113033415	0.622405146874891	0.630680702151593	0.686311480333914	0.76059142664722	0.768687533739244
TCGA-5M-AAT5-01	0.587055837972538	0.630136647652753	0.563578684958361	0.668017006084172	0.671874033883945	0.659411047332882	0.574687408772923	0.447185716348906	0.508221879565578	0.663249210913337	0.587120387305812	0.713121357854233	0.49706260077948	0.535183068103634	0.453010629792596	0.460482186411706	0.438412859533625	0.676169731137433	0.614489054801649	0.676109743761474	0.547262621874396	0.60400118544427	0.643225963617597	0.542551496497707	0.646983963601162	0.636009605405887	0.620525912738076	0.434964010226643	0.678503416614872	0.498665511755689	0.559280117252587	0.499129220172272	0.613532873705995	0.441343478873856	0.613300255598009	0.650398495437823	0.634922799699224	0.568074486771781	0.558676872957762	0.575984651247982	0.498309150882534	0.673970935085422	0.629346510777052	0.64861389107688	0.529838476500614	0.639612401671325	0.534168925558726	0.629098084431842	0.603304870487057	0.679583127197025	0.687280951846251	0.505186317664123	0.535160282312257	0.531947003830522	0.576975902925448	0.678316850427352	0.662160437433578
TCGA-5M-AAT6-01	0.63156299512288	0.675340275634644	0.671893310690357	0.709869358846086	0.708416572245279	0.694758665444041	0.666168868107171	0.539490367149391	0.646108408566938	0.719986046324713	0.676708235540361	0.728211587357066	0.621626257907544	0.658821819666875	0.565482475491599	0.574510129636252	0.559750115072853	0.726644193321525	0.667167863971234	0.711824090187165	0.636963472989986	0.7075859734382	0.669241390681984	0.666615580467399	0.7201092219728	0.694743171683593	0.6789626152453	0.519051957776192	0.699053058462354	0.529040341019493	0.666651482389256	0.580455154933627	0.696538477382846	0.555280486562647	0.698145682988324	0.723145012492617	0.734434017939113	0.692141042944422	0.657789078478999	0.699581954668775	0.613896193892743	0.743646741659218	0.687368197420304	0.688334724353541	0.649135755790283	0.719757547752227	0.647154862860504	0.687834065370619	0.677581678484653	0.673973255137646	0.68273071962836	0.618540602139387	0.643564852473258	0.622692009562193	0.683214498513613	0.713932683638655	0.710325166553757
TCGA-5M-AATA-01	0.658735995742918	0.687534000682551	0.629383615196297	0.733345823965046	0.719284524246812	0.678278351763733	0.636671584773279	0.495591497252821	0.604321378006547	0.687674073700516	0.66164036586448	0.749437619576863	0.564298692444426	0.613492950022613	0.53192715507476	0.545392005514926	0.513982729678293	0.715482938609383	0.662572271027402	0.742346639038127	0.619295072246657	0.669040943019738	0.708792722866861	0.60367290131129	0.691333856967687	0.690955728689474	0.687137675084609	0.470433986464884	0.744994124124002	0.516559723617231	0.615511562681677	0.556896284544065	0.680468067340248	0.521554563387732	0.672757094158438	0.700585475459824	0.665073308339612	0.620837533736495	0.616336978856463	0.655659092390823	0.52661984298285	0.731418965380408	0.670025185328688	0.702768681931445	0.565159593481341	0.69787074795837	0.600351286886053	0.68985138852285	0.641862383968253	0.683596142778886	0.714217880279647	0.574876950182038	0.575654957317607	0.601080529288041	0.64116312506727	0.740846843297749	0.71434824262331
TCGA-5M-AATE-01	0.617028845570084	0.681889778415491	0.625653753629015	0.702973316887958	0.714705872378292	0.673698054216469	0.635960343810692	0.49347589827863	0.573046191205562	0.685782535974923	0.648293784901273	0.771015631686399	0.547593745952038	0.594983762701886	0.525145539869143	0.526548252377308	0.503287116229025	0.710418945717503	0.636077653869894	0.731436858537203	0.60244896014539	0.62842578933427	0.700737247620351	0.587695351619064	0.683660444114536	0.676470536926984	0.681483768011971	0.456778837596754	0.72057230821244	0.506419248051554	0.611467585159583	0.530717689925692	0.663407394891371	0.516502143301557	0.66481235506225	0.679276087397675	0.669182478632291	0.620980574037994	0.591772768745242	0.64732901631446	0.517894304491923	0.696208363067722	0.657828163297578	0.694538984179206	0.556286702769106	0.664865796609818	0.584438123481661	0.669018813199121	0.646940523066118	0.675380795877718	0.715498521947096	0.557727941782403	0.575199980251977	0.592785958273082	0.615813637869877	0.732154324985692	0.70091526779037
TCGA-A6-2671-01	0.610860675677455	0.683273544079966	0.645904464521265	0.713089695354297	0.702441480687324	0.670593716368005	0.638643307294191	0.517078816881683	0.608617198169276	0.702557797112225	0.662229003475801	0.77738162561462	0.569968846907863	0.613539292618279	0.580847156777343	0.569765476148211	0.552135296785566	0.702550288229596	0.636782882289917	0.729075128923667	0.597242225214525	0.668371011349278	0.685265914114864	0.623318444303776	0.686321809503228	0.683564758470892	0.6638515779626	0.507036263044713	0.701146268296605	0.525834795977588	0.625114391762508	0.552694751620946	0.674019948275468	0.50747451354129	0.655415614935921	0.696533469045196	0.689736092359262	0.63328444007578	0.611230933026154	0.650563397905732	0.575277622607667	0.706335178757358	0.673554864795155	0.679058550216694	0.591282643011095	0.698029358318836	0.603225176547847	0.672759808731838	0.66969564232649	0.678119638601756	0.705100222941436	0.588910778422248	0.621389786616567	0.608983643046547	0.64706702092716	0.721412185187159	0.693154107814777
TCGA-A6-2672-01	0.612789390876859	0.713165557430304	0.671370868582889	0.696891343623413	0.795773991508481	0.739928017033177	0.696336726476075	0.494353681627064	0.636427513566535	0.73162627601433	0.692739225191066	0.74867799655057	0.591553851548676	0.641297996804916	0.542633893726079	0.551196949458404	0.533694156130033	0.769661414632034	0.694551929090635	0.726871795059016	0.679944603255626	0.697370724873747	0.711566741336654	0.64019749949433	0.735121522925378	0.760940597682822	0.736691459927724	0.498782838678465	0.750950112025736	0.519408595015292	0.637714141094419	0.539263510765879	0.718632154930929	0.571356194004214	0.691752557246562	0.690476022326823	0.688837052371541	0.662908744555127	0.637328591012196	0.684407979152361	0.538003372260747	0.761841862937169	0.727528754248271	0.703856226950298	0.602287436357856	0.723746493349256	0.657115989221341	0.702967433931047	0.679970052255204	0.706870085830738	0.721126815251864	0.632930854001544	0.602198713331383	0.610024143507597	0.665647759222765	0.749749407479237	0.733849844479951
