TCGA_barcode	22RV1	DU145	LNCAPCLONEFGC	MDAPCA2B	NCIH660	PC3	VCAP
TCGA-2A-A8VL-01	0.609569062435836	0.612939940335411	0.659549826941364	0.669035799621991	0.570380078011815	0.595110075770115	0.694822620177553
TCGA-2A-A8VO-01	0.576562011946665	0.5810543687937	0.63274757354045	0.642661276276031	0.530276328015318	0.574071867187588	0.629939265713282
TCGA-2A-A8VT-01	0.638113986207654	0.650818378218456	0.699775343529863	0.702660236067299	0.622036411585313	0.624941098569486	0.734705217135321
TCGA-2A-A8VV-01	0.598634896565704	0.619823063259982	0.6391216698703	0.647972836841075	0.57828002631803	0.588134066377551	0.693615304194209
TCGA-2A-A8VX-01	0.606218594354215	0.597190408149916	0.647338362266823	0.655540104249367	0.570017650982039	0.584986132225705	0.659031192850994
TCGA-2A-A8W1-01	0.610268322279829	0.592849876931705	0.660713579131191	0.680828276988052	0.540712345577369	0.589068295451047	0.691925185758528
TCGA-2A-A8W3-01	0.645477127532421	0.655094484993268	0.694975445774026	0.708054840891114	0.607834074263821	0.625353148555226	0.717277558655343
TCGA-2A-AAYF-01	0.587297247715342	0.599999834847574	0.634287535802421	0.645980277062385	0.54161808639164	0.572253742302346	0.649843835839855
TCGA-2A-AAYO-01	0.56347729799955	0.580204694896055	0.613563420141885	0.623532235130827	0.524316567475964	0.561213193838595	0.618735874573669
TCGA-2A-AAYU-01	0.583328348120595	0.610712636246645	0.630692092544392	0.637609613803138	0.570078392782141	0.583022785571142	0.678884135912269
TCGA-4L-AA1F-01	0.565091578356138	0.617127746565988	0.618931519039171	0.619326111368681	0.556992182753358	0.598698396532939	0.661461938252372
TCGA-CH-5737-01	0.585441727692151	0.618605525694331	0.634911724516158	0.642060064413369	0.562016286799543	0.587357339264238	0.657201792234596
TCGA-CH-5738-01	0.590915274560532	0.628822348440461	0.629410776560459	0.649828515474028	0.558408553073644	0.602569466518669	0.669541562972314
TCGA-CH-5739-01	0.596655077642702	0.622615016378578	0.643123250066159	0.653170246495596	0.571946334994522	0.588508684268252	0.681313342954346
TCGA-CH-5740-01	0.627394987435486	0.641519171328336	0.652230013471587	0.655351061663742	0.594594753535736	0.598249396486891	0.72852414744093
TCGA-CH-5741-01	0.5905052674443	0.610227353186457	0.628168666387421	0.649948130661752	0.566861539005219	0.57849919889814	0.695063148811821
TCGA-CH-5744-01	0.588744207745017	0.621903735555132	0.653324393966334	0.669575275999541	0.567680766618163	0.598528420335963	0.70994105494714
TCGA-CH-5746-01	0.647558682512022	0.650613714835217	0.700330174342671	0.707533102028238	0.614407117628107	0.61920938323987	0.733757715714747
TCGA-CH-5748-01	0.638267693712213	0.621680910096873	0.689435210780554	0.703530024013345	0.584843180468047	0.59692728442361	0.723336232721959
TCGA-CH-5750-01	0.625579981322964	0.631086852330298	0.661825438496587	0.678546002093448	0.568794411436576	0.606802873867353	0.699078298478685
TCGA-CH-5751-01	0.634772035485114	0.612529832914373	0.669362032373408	0.664419687255404	0.578359404735298	0.593094281850456	0.697984099503329
TCGA-CH-5752-01	0.641068354378372	0.651514824248406	0.667544715697286	0.659420751367885	0.60473719492871	0.600866732594977	0.713039663466872
TCGA-CH-5753-01	0.609933152486175	0.622444656438126	0.642475791293744	0.673422751443104	0.57518628336181	0.594900467954017	0.691155262337491
TCGA-CH-5754-01	0.599929205977117	0.642181008387601	0.668204904019206	0.671522631460851	0.588102980560363	0.618948993767695	0.708503990564366
TCGA-CH-5761-01	0.627571960708498	0.646530659940596	0.678993125802793	0.676339458138835	0.600168931790814	0.625985642753808	0.694165195740616
TCGA-CH-5762-01	0.620261878467964	0.646565770059762	0.656400878892464	0.684476546668028	0.587011377475791	0.620671071789347	0.695887141517994
TCGA-CH-5764-01	0.614297623812933	0.638864129627561	0.64779218481324	0.667448756366218	0.592892068490225	0.60328992228566	0.702163290011353
TCGA-CH-5765-01	0.615760713934903	0.63175681353602	0.663773568945099	0.67156553478403	0.588182592508124	0.596243696516916	0.707326495110245
TCGA-CH-5766-01	0.601678356018362	0.625997967037303	0.647539957477228	0.665593441732619	0.576523697704295	0.601495261028006	0.683989067175066
TCGA-CH-5767-01	0.602138693398659	0.602547540250143	0.646571413854279	0.65973426800519	0.547959831395108	0.586742201444128	0.661004922434931
TCGA-CH-5768-01	0.631158786849925	0.645888422601706	0.666424295691825	0.685280884861629	0.592046364225493	0.615101977584461	0.709688802351186
TCGA-CH-5769-01	0.598047770017978	0.636969349075923	0.648738373453566	0.665139164854165	0.562815168392455	0.62189672719214	0.699847372026815
TCGA-CH-5772-01	0.618378796231966	0.605231576654107	0.625975789646432	0.631754631198092	0.553779887528173	0.583976028017492	0.680328259466019
TCGA-CH-5788-01	0.60068256098736	0.608398364209736	0.638122750182612	0.65496261197573	0.549783287585495	0.591355930632805	0.674243065080282
TCGA-CH-5789-01	0.556701953668088	0.606722043078465	0.582178541127201	0.602889215134934	0.530914874017257	0.573206703305096	0.618682440123516
TCGA-CH-5790-01	0.586360878022667	0.627486271678636	0.633016971084974	0.651614166016218	0.565131485453909	0.59893367688537	0.689803765036055
TCGA-CH-5791-01	0.589931872778992	0.62252636470814	0.64549941319085	0.66239464045001	0.577834593655379	0.604520925549989	0.698942266555103
TCGA-CH-5792-01	0.6010647655605	0.633622046769543	0.659053542780074	0.671200793895594	0.582159117145848	0.61037290671574	0.686543361781568
TCGA-CH-5794-01	0.600127060982522	0.627992155409376	0.640451825797692	0.646858508088344	0.592152067706265	0.59880054429295	0.692933869286624
TCGA-EJ-5494-01	0.59921136272123	0.620225724160038	0.595623868226418	0.60153985632907	0.562524285941424	0.569144410103784	0.662034639284789
