TCGA_barcode	HEP3B217	HEPG2	HLF	HUH1	HUH6	HUH7	JHH1	JHH2	JHH4	JHH5	JHH6	JHH7	LI7	NCIH684	PLCPRF5	SKHEP1	SNU182	SNU387	SNU398	SNU423	SNU449	SNU475	SNU761	SNU878	SNU886
TCGA-2V-A95S-01	0.605643049912961	0.620914095973241	0.435735131066578	0.643698263121475	0.518908693668159	0.613198120084348	0.449984390562823	0.494307777591301	0.485558389828376	0.6441133586897	0.492732079468611	0.616715266147553	0.554631375316589	0.547510845510014	0.544599850556317	0.440277532833719	0.386869619512717	0.485818105557305	0.396931554717444	0.438756958949918	0.483729688432203	0.473324537802466	0.595627339142469	0.579904821385319	0.540807978922648
TCGA-2Y-A9GS-01	0.590045911326198	0.607308744560095	0.448775157719889	0.657213488256802	0.523253784583902	0.602428012800985	0.435746279448172	0.513704689453863	0.494787968410439	0.626038932391482	0.497378533276392	0.589876579329049	0.540531973103087	0.517990122520511	0.538942479096078	0.432899157225301	0.395398358081797	0.495522479053177	0.384201852448366	0.456228799328021	0.475111193079864	0.493404490126888	0.576490160351129	0.597747882370052	0.537447446254603
TCGA-2Y-A9GT-01	0.536945745212005	0.559903679075366	0.367506879113841	0.531955445641189	0.451621337692146	0.541391227462498	0.377061576997295	0.410602982272258	0.409090097928858	0.542499432129727	0.426007913713195	0.524529340357996	0.453531550574449	0.444035108094046	0.436787904852466	0.371110243816806	0.339803735175556	0.438618955783868	0.328980334015062	0.391963766168624	0.426457685676244	0.402178630749026	0.514783674163724	0.486956959877471	0.47292256003038
TCGA-2Y-A9GU-01	0.574747958748407	0.582806873832368	0.346389726054756	0.53879080628756	0.492522884402215	0.582464790192378	0.433223766638952	0.426209398461486	0.37761226322046	0.569521550298385	0.428466964618986	0.571562809258488	0.512625557962063	0.473492251141388	0.480482364341741	0.410021475441817	0.394616874115681	0.431107348888609	0.387504959039814	0.39280044453757	0.449777182983479	0.426509278265465	0.538238780352362	0.520970348211462	0.483202235984445
TCGA-2Y-A9GV-01	0.537747509592426	0.543210931421107	0.345900806417406	0.520822151671568	0.447333602991497	0.546457770192798	0.381750242771084	0.394552151181106	0.391373742960664	0.529577616566254	0.414136755748039	0.505696736347458	0.447831164973333	0.432814273278964	0.417709241766354	0.366419063633452	0.328186882685602	0.427335391391192	0.31301587300748	0.37672854717165	0.414089287109876	0.383153161305684	0.511597817733232	0.483161745471635	0.463960910851063
TCGA-2Y-A9GW-01	0.583041387665912	0.610054640662546	0.37414895798683	0.603990658578317	0.508148119872703	0.590530217727866	0.42549096711866	0.464151111296825	0.438890897024224	0.600679418890081	0.465127586395479	0.567555861351184	0.514183416955403	0.49507112137201	0.483437103595212	0.417030943118	0.385875569300123	0.467400121435435	0.355941973311532	0.426117395349008	0.466806693514357	0.440158053396118	0.577898889617497	0.559433146292138	0.520061149088812
TCGA-2Y-A9GX-01	0.598625690101421	0.619957590468583	0.415952308418591	0.612769890203167	0.515669730769973	0.610707861532953	0.43595938899242	0.471357372614337	0.470193518719549	0.606253487708528	0.47832747678613	0.570292453008056	0.521775565360189	0.493026019523883	0.494046370109291	0.424566686985246	0.396007742938029	0.497498025455509	0.371383942552026	0.450952627116949	0.485275562143586	0.462368094940504	0.579063050103668	0.575040166225566	0.540097028567505
TCGA-2Y-A9GY-01	0.638676639167976	0.641256579314499	0.483764452691539	0.676311702734853	0.541258565362281	0.678992572548362	0.466740238217858	0.489951827178978	0.527865642492781	0.673486250758542	0.477531045455166	0.636812304968371	0.57139481080643	0.51963248221522	0.613873395417437	0.441230281953552	0.394080459001642	0.486810024266348	0.412497301186172	0.448398096271977	0.490927906101332	0.503967375919818	0.571096343397086	0.578541217840204	0.528504944258847
TCGA-2Y-A9GZ-01	0.523075222526194	0.539302770418472	0.384817777099439	0.550140229175163	0.453048298133861	0.539826946707668	0.380091890270786	0.424960151662512	0.429908146489518	0.534370180393648	0.416337804152516	0.514252785737512	0.452063258998166	0.441741972644394	0.456331378580608	0.365026997188406	0.321825393002369	0.423440910806204	0.326349602077964	0.377838513364574	0.400963395346616	0.406413655676094	0.500052153974766	0.497397910479122	0.459352841972844
TCGA-2Y-A9H0-01	0.561422272210548	0.590361889208946	0.413168049501778	0.611094451024598	0.506929990940089	0.602878293760751	0.415427102215661	0.460524435384791	0.446223555958355	0.596174384951956	0.43942467492457	0.559349600058128	0.500011278102227	0.483329811585288	0.523599226918471	0.410388767691906	0.366908038830268	0.452404225237202	0.366327009130217	0.425233331412764	0.446849646224106	0.461039341057268	0.534625414133181	0.530706660723117	0.494983897771376
TCGA-2Y-A9H1-01	0.523074919111405	0.577771263102561	0.338053545678687	0.54850829500328	0.46096181195938	0.52545548230915	0.395775524645609	0.416535570894346	0.395565494077321	0.561546749424263	0.421780568460652	0.525830994832839	0.468411065997413	0.476585646869115	0.451828923883113	0.378496142630128	0.333965390805254	0.421915511681456	0.310377931550254	0.370599773338367	0.411968801044702	0.390283054984561	0.52656364785871	0.505198898653536	0.463193464947109
TCGA-2Y-A9H2-01	0.64073840594038	0.628574856111096	0.437861269464521	0.601610563388213	0.559062469033449	0.609253834001163	0.548321876567532	0.521522256082482	0.506117101644442	0.629693121432257	0.519811079454815	0.587210711580341	0.596897836720416	0.583552888790485	0.553463364568771	0.516530869829771	0.465424180125609	0.52440684475429	0.436330820333494	0.484943902843372	0.554998299014626	0.485660584150972	0.651296456694324	0.609922032949106	0.578121439177941
