TCGA_barcode	AN3CA	COLO684	EFE184	EN	ESS1	HEC108	HEC151	HEC1A	HEC1B	HEC251	HEC265	HEC50B	HEC59	HEC6	JHUEM1	JHUEM2	JHUEM3	JHUEM7	KLE	MFE280	MFE296	MFE319	RL952	SNGM	SNU1077	SNU685	TEN
TCGA-2E-A9G8-01	0.4733820624081	0.410582683842552	0.53637752532932	0.484696254191669	0.534108569547507	0.451388540751875	0.482716948865228	0.502212465948941	0.515160029307315	0.598235711483101	0.482142902723922	0.487123318118537	0.554922091811427	0.45960089784615	0.589325133286862	0.493120914325862	0.556234660416518	0.541371804117911	0.559827858783041	0.543913241082578	0.506367913629332	0.52730393421473	0.493806814738184	0.510541223084314	0.538859642188614	0.479322456559721	0.535287303812276
TCGA-4E-A92E-01	0.446102922878182	0.42277198712878	0.549667062460614	0.472637974723055	0.550024167859376	0.428964092221422	0.473966359850301	0.515372312333302	0.514914452640027	0.559156056885917	0.474175793446929	0.489309938761017	0.526646261699499	0.431658555006511	0.549416258239868	0.48820628105586	0.615526121398976	0.561995339524131	0.526805783743644	0.573360758574314	0.499937035756373	0.538982433851442	0.505158854480981	0.498618956769037	0.539093652272326	0.524469312421326	0.515217684642163
TCGA-5B-A90C-01	0.512413334100606	0.475645914673433	0.626885719243295	0.530495793197309	0.611945989144581	0.478473204398783	0.550276009550055	0.574794327676786	0.584432607267065	0.652441835767688	0.526821470703014	0.553868867317137	0.615793506225328	0.495735359467646	0.640955049873944	0.544850127443423	0.667670179255919	0.639331675719012	0.599209255811562	0.632820785451882	0.5708306776941	0.605800552999626	0.540346654019674	0.544669997345551	0.63824549349548	0.591656024036564	0.582486910220172
TCGA-5S-A9Q8-01	0.428883088486683	0.362989624176981	0.493340786409074	0.413292102838918	0.494625575022899	0.419882505850132	0.465046377020406	0.468823584066817	0.469928359635862	0.510068606896593	0.46977632758157	0.455298542760846	0.471796397583554	0.423391988502568	0.510795098059301	0.469968979038914	0.534738477347917	0.520898701732883	0.461617858682171	0.485004991275455	0.454200572297228	0.494760655626608	0.48097160428263	0.486971280855554	0.474869184475524	0.461061386088109	0.474015345406252
TCGA-A5-A0G2-01	0.565980206416786	0.482784156182174	0.664380895085835	0.582817150323452	0.608337952965725	0.578896872138665	0.614229489360561	0.657489635024884	0.648083814453917	0.672307645969564	0.581719511796337	0.615331749055471	0.66723050386236	0.568073115030807	0.665228713063887	0.562630546294766	0.656610667430191	0.672950098734241	0.590001386024675	0.602513800786458	0.596601689783293	0.637901653838732	0.596637657295864	0.618510277086937	0.654141968706845	0.568727653307407	0.653595879085946
TCGA-A5-A0G5-01	0.524335440174678	0.473896133224355	0.582216444424281	0.54536475456476	0.583972147268214	0.4976271610973	0.544240329023059	0.545237627439234	0.561690189524969	0.612168596493843	0.51172823452614	0.527398530960968	0.604397808626807	0.505569218163788	0.620281518358977	0.541940506396171	0.600638609445912	0.592100068694332	0.570045148871681	0.576995438107301	0.568356707664243	0.594392936621931	0.547382083203354	0.535917747132503	0.591788856829556	0.549503066061928	0.549875738440476
TCGA-A5-A0G9-01	0.478896389229919	0.437447144978721	0.551503224152121	0.501694925476477	0.534645420634671	0.440454107554732	0.495923100112053	0.500741526439127	0.517412930645	0.574137071054531	0.485135186368363	0.487048771932679	0.551838320488813	0.447666966295128	0.577073973010648	0.502621035122421	0.586335860525957	0.560029814072721	0.534784975340123	0.570061566758205	0.520563612378293	0.555960675998682	0.514418564632765	0.515540465244569	0.535560125098184	0.482391709307558	0.510232893613368
TCGA-A5-A0GA-01	0.515109548210211	0.444130484385806	0.620175879764708	0.511349823137317	0.607231335548692	0.481546601123154	0.557828537431479	0.576116383084274	0.5729319389653	0.637081588356452	0.550924761253403	0.542357584478391	0.597007072756613	0.495772771217555	0.650041878263734	0.535551903172497	0.649075477002324	0.634638780559307	0.579198134590768	0.584042381308789	0.558264910551696	0.607092533206744	0.601209826636772	0.550733852820414	0.603588049248236	0.55953493498851	0.579581793120297
TCGA-A5-A0GB-01	0.471664551818342	0.465820260240507	0.551160942379743	0.507761019653429	0.558055797738999	0.407556571017151	0.484796012084401	0.495648070322633	0.507127637048274	0.583323250745432	0.465918243211683	0.491033937049341	0.557462415482943	0.43921982653907	0.612668923004204	0.514097782835162	0.57448169227089	0.557139296537807	0.541039510728019	0.586192259237799	0.566967690165877	0.57579889301523	0.536912283048762	0.483987484024645	0.542510293707721	0.532038221840755	0.509926790128694
TCGA-A5-A0GD-01	0.484814984894724	0.394156761239736	0.542996033692098	0.479616303365456	0.510942789689616	0.478552242999143	0.537435385739717	0.538871057844109	0.555706902052197	0.608775782279591	0.511819943934276	0.496326840279925	0.587367845407484	0.469565564525909	0.619289573203492	0.497789969095694	0.57075214764358	0.585214940235729	0.502030655407364	0.525969498364052	0.519408930551352	0.550827369415532	0.526255428507819	0.540804007437417	0.524563218022432	0.455505949084758	0.551083118093535
TCGA-A5-A0GE-01	0.492508073734006	0.451664431705553	0.553580188699881	0.509075784327405	0.549821198692802	0.445613747840135	0.499117631030899	0.517279441794442	0.535069325152703	0.593038902786542	0.475231332601446	0.501168068959765	0.574379445157214	0.460934335438947	0.59579301867342	0.519124986031797	0.589811999565106	0.562495810222322	0.540218096211151	0.57842544197621	0.550619364568542	0.557136202561546	0.516640145284934	0.511279396597899	0.557339602294316	0.529367833312102	0.524475802311079
