TCGA_barcode	CALU1	EBC1	EPLC272H	HARA	HCC15	HCC1588	HCC95	HLFA	KNS62	LC1F	LK2	LOUNH91	LUDLU1	NCIH1385	NCIH1869	NCIH2170	NCIH226	NCIH520	RERFLCAI	RERFLCSQ1	SKMES1	SQ1	SW1573	SW900
TCGA-18-3406-01	0.528081492370135	0.546904337617701	0.60312631904864	0.675582756465771	0.529894827281089	0.508543265928844	0.652565500578698	0.484947788724491	0.684912536192261	0.618867515413986	0.564453731431453	0.470083569457148	0.668885047296036	0.408542090642131	0.573337601230224	0.590118908926638	0.504513990730082	0.523360653505265	0.518137819035649	0.541863466327406	0.570010766532101	0.515600250789237	0.498919786496108	0.592112194564485
TCGA-18-3407-01	0.58498327864318	0.608329076636814	0.647936143086146	0.711967583485561	0.602461481990093	0.568993430833128	0.713905720856663	0.560574864013166	0.733323465161954	0.678489695534231	0.622793300913589	0.536076421316604	0.721975775558878	0.457804734249285	0.630276830613289	0.647123894013063	0.58404976803659	0.587436642964148	0.565571485284952	0.608599285637851	0.615917199000725	0.582016700866821	0.556971854057845	0.648859228722554
TCGA-18-3408-01	0.570406185729364	0.561197027114813	0.571783917285048	0.640342337219203	0.559339849725975	0.504277640960449	0.665487345286971	0.539443257058786	0.694804635386252	0.639056715031685	0.622249127704072	0.488062695890278	0.655858790602259	0.437383797603879	0.600001114079758	0.620489384016408	0.524256783000561	0.561969531986286	0.557492900391902	0.560349585188075	0.591618572861846	0.52978686551012	0.508315749492287	0.627051121197525
TCGA-18-3409-01	0.564519495263753	0.566153974025978	0.606819971284619	0.661350530476115	0.566393495257773	0.481758699516645	0.697698588230315	0.569230338219349	0.676156964424355	0.642849598130619	0.622048734283671	0.530251464165676	0.637464591592412	0.49406442026829	0.551317007158143	0.602249385301183	0.573911468551364	0.594052905178785	0.591563083541268	0.628404372239799	0.59664049434305	0.524219747706285	0.544693190421381	0.639019622040399
TCGA-18-3410-01	0.533014612200382	0.550890685919474	0.591010135740605	0.643428306337355	0.538243161585165	0.500242573847003	0.632918027806521	0.501749115896697	0.639418907379901	0.607781772802263	0.570416550298921	0.496738000015709	0.624583502140483	0.439096836596972	0.542119625738586	0.583609820285946	0.528908298211997	0.548361610522849	0.543598852451216	0.561223396044937	0.559101767085017	0.530510835244505	0.510480465882293	0.597135124874765
TCGA-18-3411-01	0.54546589912263	0.574095252213429	0.610353334609408	0.694171482286886	0.585024859062722	0.509583282758328	0.71117134332341	0.536866659318833	0.713488496670492	0.668426562344536	0.617687250426105	0.510682054682586	0.710643241262543	0.460295424201931	0.594521802939588	0.642197286707344	0.525100875361905	0.568759219221191	0.539424008158945	0.597802434441315	0.610986267843223	0.535656034529338	0.527986551061747	0.632755169625034
TCGA-18-3412-01	0.541281002027295	0.589390547532459	0.636134955826536	0.677039218521719	0.584865797133336	0.549507448393618	0.707309175856784	0.523437123897743	0.72108691809058	0.63717554764109	0.586952375573087	0.497596223246341	0.72627356435698	0.412691032496393	0.625414560216359	0.625479358910816	0.541800268789182	0.542597082348623	0.535502426601094	0.5797344757479	0.574404622959513	0.568945996224634	0.518254848329124	0.627063912483824
TCGA-18-3414-01	0.548654318581459	0.577427870505101	0.628539874530011	0.680806215868777	0.571978026043556	0.534559753404174	0.680554771422698	0.539013271334271	0.716516178678991	0.631385609060288	0.581248264201716	0.513754438524585	0.697999307225169	0.428369394837256	0.613116136758183	0.639186441564693	0.553390104331723	0.537865921608794	0.542722566584107	0.584678189481927	0.60297610308474	0.562834674716942	0.535334134850233	0.646328485025665
TCGA-18-3415-01	0.553523389524871	0.583416629301849	0.645219128464357	0.675301458357032	0.589384369284476	0.52484644272982	0.719413970563877	0.546390475252014	0.733111167078496	0.67619636390823	0.604587740156017	0.524755755779484	0.730907461025016	0.443906858794954	0.602572689990115	0.625437698380509	0.557857737965131	0.56599683130774	0.559573807916732	0.614299324820261	0.605983703561631	0.550692002881616	0.548559442359284	0.645153689717625
TCGA-18-3416-01	0.56029302996603	0.604916265416417	0.628371972890896	0.683400740702215	0.612230858411728	0.53671182579089	0.713516077263765	0.555525242403399	0.70262591692202	0.684405872888989	0.626853009612517	0.560085800686013	0.695469910981695	0.449735294871475	0.582751147726045	0.624574847570684	0.573359949675944	0.591127734342899	0.56272088311415	0.606224943209452	0.601200448085902	0.553987093474223	0.568265936524214	0.627686228424022
TCGA-18-3417-01	0.569729539863477	0.601462827049951	0.651199804962769	0.689780381177333	0.600907388353221	0.548604676279129	0.724393170889722	0.573117744022521	0.745183376799055	0.666582733590845	0.625454474118972	0.556184381266891	0.71041061940217	0.458526913113616	0.608685822545642	0.628654233131301	0.589682749907468	0.592301324399435	0.58304466070398	0.640247473576687	0.62353492657246	0.559779348529656	0.585519337688383	0.664923677303191
TCGA-18-3419-01	0.512340065673705	0.577588792047512	0.63152835239599	0.652154429890961	0.562143164512515	0.544590275044383	0.680280789247568	0.491892177436957	0.695121384170432	0.646789710463766	0.561135892538324	0.510034915681554	0.687489728240058	0.430339914500634	0.568957717945837	0.591297865131368	0.535837668133603	0.543301286350902	0.530790303522688	0.572691793276832	0.54296720553342	0.529869335300641	0.539850687413894	0.608528337552694
