TCGA_barcode	ASPC1	BXPC3	CAPAN1	CAPAN2	CFPAC1	DANG	HPAC	HPAFII	HS766T	HUPT3	HUPT4	KP2	KP3	KP4	L33	MIAPACA2	PANC0203	PANC0213	PANC0327	PANC0403	PANC0504	PANC0813	PANC1	PANC1005	PATU8902	PATU8988S	PATU8988T	PK1	PK45H	PK59	PSN1	QGP1	SNU213	SNU324	SNU410	SU8686	SUIT2	SW1990	T3M4	TCCPAN2	YAPC
TCGA-2J-AAB1-01	0.638180709068693	0.602380920260186	0.676094996547414	0.629835288277589	0.65742893441214	0.56777756400384	0.604284521614891	0.645268240694919	0.574283852253692	0.618959411971234	0.603585876488313	0.575414421345798	0.582772275963696	0.535373666677359	0.565229094646604	0.512915097823411	0.622923548629798	0.609319353760993	0.619579736664888	0.624534309018377	0.656782693518483	0.616395236481714	0.540314037907489	0.601222775671268	0.544211145830007	0.693998256060116	0.531047681623275	0.574346423412517	0.595110033337492	0.582669018444958	0.605193332750397	0.525024590748366	0.623556303415418	0.571767101405304	0.601504045931092	0.62045961793031	0.610276143338357	0.589499262231342	0.552253514917769	0.65051121230169	0.622799805914875
TCGA-2J-AAB4-01	0.622214183186933	0.594672388244733	0.681799257528407	0.639114180544871	0.672480305435675	0.571896562745748	0.593166612540734	0.635845425991378	0.564643115583203	0.622330023569744	0.6063580638605	0.587811366000594	0.594769973060291	0.543350736165112	0.570880091241096	0.522283644769871	0.630981116732935	0.628225358422552	0.637929873407024	0.627145189353302	0.650763563246256	0.612309182899824	0.554437520305107	0.610520730550153	0.548519659562749	0.683154679458701	0.546657236775493	0.578517020962197	0.599899684477837	0.57909922507172	0.605553278723469	0.564051680013602	0.644119874063393	0.591899224113613	0.607879017426588	0.650853081299318	0.606348605742679	0.58790879984239	0.564541408573883	0.632539681524101	0.63501504747514
TCGA-2J-AAB6-01	0.605072964271364	0.666620800765578	0.665000611831037	0.664674885834421	0.689834899824806	0.619034524403143	0.624597004048044	0.642791583317658	0.621195587813439	0.661741465385598	0.640379059413822	0.615720488119648	0.588117623685289	0.580039081697883	0.611992485587579	0.561909278032267	0.665358102895333	0.675863596900238	0.678469569047519	0.674906084090123	0.688813438298144	0.643958395876094	0.582669940239841	0.642536849377017	0.574389916649994	0.636141280358986	0.560390038442341	0.613890805375076	0.637160610295251	0.641972344887065	0.622183789231324	0.546560339303164	0.685660478872913	0.623555151299339	0.64718555559885	0.669201707376739	0.598809756269059	0.661596283691849	0.624667896485381	0.631716766510999	0.644485702773706
TCGA-2J-AAB8-01	0.683364126208572	0.653552045819166	0.721422018321468	0.68970809299157	0.707624040196574	0.625117903215662	0.653893780780511	0.688252625141318	0.626856494956481	0.662835450307187	0.646847349398339	0.631090429850706	0.622908915699297	0.593239856102457	0.632747698998378	0.581462807617829	0.669652101831661	0.662477314411262	0.677822060512935	0.677315965676052	0.692249683748147	0.662917574235041	0.586762439131917	0.649782512751451	0.600479437261668	0.713697081308413	0.582042217689182	0.620153915303392	0.651221898372437	0.640966533550758	0.648117674760136	0.543448447030386	0.678998723920165	0.626874617554147	0.657551049616167	0.675819523656834	0.649675520356896	0.648895732607	0.630063409418865	0.679870467610088	0.679775863094821
TCGA-2J-AAB9-01	0.58981924326075	0.584545256554279	0.6448640756798	0.616627062347416	0.653848487710362	0.575880157153936	0.579551161798985	0.609509597514196	0.564540574993837	0.600715422034698	0.587878173277581	0.570325781293669	0.577478603205342	0.554271403811485	0.574895954623243	0.525791183383987	0.610474204387465	0.617899602795407	0.626351975523838	0.606532059592798	0.630302346289464	0.584833136681027	0.558191503704484	0.59001215234647	0.524536468619225	0.64675818377173	0.54151799606849	0.56228902820074	0.593091184155487	0.568057007578377	0.597566725257202	0.555336038570352	0.616219620367558	0.571886765672073	0.601942320928367	0.633113368541965	0.603822730454701	0.591939721332082	0.555480544877121	0.621925387160788	0.60616067758105
TCGA-2J-AABA-01	0.664743881318968	0.634843251153609	0.712370494134401	0.681222487328368	0.703666363464932	0.610984168030919	0.656803317458883	0.68199830870565	0.609065051258694	0.664712024476449	0.645762445121923	0.632904924873209	0.62265173964696	0.575540576688499	0.617040256726739	0.546349858759619	0.669277148367184	0.653282556064901	0.660196076520949	0.668843092644414	0.698440621145495	0.64802669442511	0.568548768142457	0.639814768851145	0.582919748771231	0.697407617878703	0.570193790350947	0.614648730503553	0.623368900851084	0.61046712047698	0.626503799792092	0.53925900310809	0.672349093578529	0.62713352916685	0.632577938856539	0.669869173817672	0.64839803944482	0.631308599950428	0.607327878290044	0.672253689355498	0.663841719310482
TCGA-2J-AABE-01	0.653011528881454	0.640562248612627	0.709755780651047	0.683435266317267	0.709988118855274	0.610230240291891	0.641626574377576	0.676785624081818	0.596633015381171	0.651413369920923	0.634648658139517	0.613076011542953	0.606285988690117	0.568205016829887	0.610811524344313	0.54834473383272	0.654494002407027	0.660030233419405	0.665199918303611	0.668171812318455	0.690179198727088	0.652275816640951	0.570909467750581	0.64095947788131	0.574522794074313	0.705026253570136	0.557130747468794	0.601895116462306	0.63275413564367	0.624112101991222	0.628409786930835	0.550139875726463	0.669318697035206	0.617699966308101	0.633659905207567	0.671539449469744	0.621211498516709	0.628782702635661	0.602767447378457	0.653419577016676	0.660086604653764
TCGA-2J-AABF-01	0.631033670904271	0.592095339115302	0.669256104190973	0.622611113620679	0.649503236445059	0.564634959561014	0.589578847110597	0.630531546671231	0.563047927646059	0.604915222977291	0.584105406544317	0.566621516722553	0.592948489450974	0.546498882557819	0.569363376099205	0.519646759005144	0.618012441514463	0.612765400518043	0.617526611244704	0.608937085834931	0.63861296400566	0.595430888249597	0.545059338416199	0.595092198092277	0.539266886708369	0.695053573821468	0.539011465900201	0.561879126218676	0.585343162589327	0.565819315422168	0.595503104994632	0.569679966820543	0.618078129141646	0.583770963917028	0.598456673215799	0.635796342347042	0.607140785683151	0.584053724120911	0.556051975157613	0.635684328153724	0.61727324779416
TCGA-2J-AABH-01	0.618960262755515	0.588814344673616	0.663729369757476	0.627206101960429	0.657638678714231	0.564343838726048	0.589043401664567	0.627168815571232	0.563939891669494	0.618418088703794	0.600288490425514	0.569017452467849	0.57786826176125	0.537540375644976	0.564510764059924	0.513494834906059	0.623586638937983	0.620812302821466	0.622010726769345	0.618270028120517	0.647046364455642	0.60082820956066	0.544416875727638	0.601708456447042	0.537198273471587	0.672474171099358	0.539117517858163	0.572854471988457	0.595336777122682	0.571210958063235	0.593349458259378	0.544615199394324	0.628424333695051	0.595308916469547	0.602256867469162	0.633176616703003	0.59125518596101	0.584073555450407	0.557091911923334	0.629717375606674	0.607823092466961
TCGA-2J-AABI-01	0.614476118028361	0.685878699492681	0.688617236126721	0.69050499712625	0.693959505544853	0.66257651080643	0.646355212782986	0.635745420878651	0.660115432579449	0.660454849014123	0.669729298468314	0.666247675541154	0.620889079031961	0.63010059105822	0.651926886444012	0.600489848641015	0.701460320806173	0.722028295237253	0.70373933396004	0.682540703444356	0.685288868863779	0.665669131454119	0.618504078194386	0.671479519675583	0.632650693122337	0.629003003867068	0.615673912825864	0.66901218670239	0.677915466628976	0.657532382150938	0.653541817290962	0.513748045136112	0.708406038828878	0.654209942450076	0.67587947736564	0.697131243717041	0.603861081176663	0.677887369187279	0.653781676296846	0.630179727342576	0.697198156658452
