TCGA_barcode	59M	A2780	CAOV3	CAOV4	COV318	COV362	COV644	EFO21	EFO27	ES2	FUOV1	HEYA8	IGROV1	JHOC5	JHOM1	JHOM2B	JHOS2	JHOS4	KURAMOCHI	MCAS	OAW28	OAW42	OC314	ONCODG1	OV56	OV7	OV90	OVCAR4	OVCAR8	OVISE	OVK18	OVMANA	OVSAHO	OVTOKO	RMGI	RMUGS	SKOV3	SNU119	SNU8	SNU840	TOV112D	TOV21G	TYKNU
TCGA-04-1331-01	0.597234535119734	0.553873123774683	0.668653206102428	0.752801452511707	0.639464748591835	0.702531863158055	0.536963370917364	0.623664051439952	0.605425741189513	0.507823309058145	0.641556566681659	0.572670827666598	0.61611938005954	0.551014720313242	0.56967168788121	0.541996470726594	0.663843508778733	0.699782078278006	0.711159001852793	0.521046841993546	0.669925556067512	0.611555666667986	0.605655922369673	0.69458650268541	0.596326544432841	0.569928601378197	0.499019480937645	0.673374190704912	0.591345207371351	0.597662559442556	0.522672058694663	0.581703181571421	0.715110989899117	0.547438283976901	0.558655411794571	0.569797116259329	0.635715889608032	0.694486808435946	0.621388482950298	0.595852077442394	0.582143384045537	0.587942949115038	0.520815075460005
TCGA-04-1332-01	0.565818820529027	0.535444028024239	0.61694966313742	0.686869907494413	0.626021686492689	0.659271316888746	0.506384731023212	0.595012355067578	0.552755984151224	0.464445007452477	0.612464696843492	0.527047493340207	0.591758570574854	0.497694486209995	0.535843034652902	0.50786878577131	0.589048809604552	0.649674279672679	0.701756308148806	0.478609378501446	0.626511459732806	0.588243374630897	0.545914388453061	0.644603086264541	0.546711728170287	0.526595245527933	0.4963916825531	0.613236437821025	0.545413959444212	0.545769557684019	0.496974900523001	0.540582889078114	0.650782128566102	0.500819671123658	0.506911493393875	0.524559507766192	0.584957246952051	0.622442172500887	0.554488043887069	0.544297349704463	0.559102143252169	0.548630589747917	0.474210553787521
TCGA-04-1338-01	0.592588345261003	0.518727573660821	0.641760477420463	0.708301469762134	0.643763276429496	0.676330976200662	0.57527523813694	0.636790523976404	0.577557273376677	0.515133851515395	0.607783179142332	0.579362394123068	0.621698935426007	0.548281376771676	0.568132098385708	0.556759117301973	0.653206340352637	0.681566911345429	0.701596218335849	0.554942598867013	0.657455453822641	0.603611254072942	0.561910984278986	0.661596791410615	0.581707674489924	0.559761332741364	0.537153351122764	0.661500242609961	0.572358667554707	0.603973815902054	0.504352447663876	0.613316336088828	0.674792181676676	0.542875627392034	0.575998254713132	0.579822600813707	0.610198851207177	0.649047541838841	0.619964554959346	0.604698686753453	0.533712645459907	0.570279793620239	0.506253884117729
TCGA-04-1341-01	0.557932844429247	0.49292468301657	0.640969448366509	0.688036542328908	0.613248943305033	0.650262398767161	0.512455783896142	0.615491391259648	0.57053741431395	0.438084404828959	0.563575270665012	0.507134501082899	0.584403115442506	0.493320556777617	0.527014161888899	0.513447060867479	0.590295639880723	0.643885468568215	0.687839020963023	0.502933332315025	0.641418856916937	0.5895083183957	0.512984189985653	0.660480847034776	0.553401252950054	0.506809183447094	0.485957703102758	0.662832808745732	0.535907004529612	0.565456181197385	0.502540483818168	0.585758037408105	0.685646227391254	0.512720068072307	0.533689100297402	0.538339929111693	0.582153889291325	0.633583468598108	0.586374829041562	0.573706293005156	0.50283521799029	0.547202942243132	0.471742619867056
TCGA-04-1343-01	0.599845401022027	0.519958689936221	0.662364441694437	0.724476877524774	0.635094107235016	0.67638295821968	0.537399982803304	0.638675364416473	0.603943083521321	0.474385175600688	0.598728570004151	0.536833850954192	0.604523514131234	0.519232273774993	0.549991369052786	0.542147307799568	0.624555348600888	0.661030692653575	0.710147715724225	0.512500661221142	0.647471199499648	0.606445307402423	0.565621288259383	0.672863815961069	0.582238947865281	0.547352458373266	0.512533053416492	0.679182158300086	0.582498596059311	0.585812223888406	0.532733787735271	0.597857261526537	0.711668784245171	0.535763954808503	0.544731034648119	0.556031385824886	0.619074573457281	0.655627714369835	0.599624012745379	0.593980574765548	0.541558895805937	0.581561299929373	0.497250654130471
TCGA-04-1347-01	0.588649653712439	0.525692636221465	0.623970718251021	0.674908867240972	0.641255639907195	0.653837978763385	0.479032710812508	0.571040516085289	0.54125149657522	0.466904894920698	0.605193066709311	0.520033104307223	0.558646523883418	0.521445216309991	0.536156284200985	0.462478256939091	0.58194064816497	0.622352293865332	0.675795383439595	0.446886340364703	0.652424465040296	0.555737944770355	0.54118630634896	0.650399692483232	0.533507525262929	0.505603340240577	0.468693606680491	0.616649084905311	0.560912664132784	0.52732679951507	0.521017013514523	0.525911572570814	0.697914264739663	0.484207080823315	0.508394408136939	0.492696475110118	0.572887929795515	0.628801700627076	0.555103392703768	0.53186925664834	0.551582906250831	0.541669749602447	0.463077881421883
TCGA-04-1350-01	0.537150983268796	0.476305641907347	0.579822664555766	0.683187276430048	0.621865854263147	0.628348830517596	0.505277984859026	0.569308511645292	0.531920210779785	0.444576683540836	0.561985848715164	0.503015847567309	0.557777429634991	0.482346461931607	0.503960549333023	0.475452293726129	0.582802922215166	0.61598635810226	0.682852313921752	0.475568689834582	0.604803441062913	0.537229669969552	0.520686080389221	0.628954768134761	0.5317596347521	0.491270906206749	0.460560180175066	0.604334615971159	0.522630792485614	0.527905111653831	0.460305559451473	0.530341843668615	0.652776817647917	0.492381516619132	0.493979991320796	0.50220818687841	0.550826631022536	0.597192404573015	0.551541762156139	0.520824941612208	0.49472819122869	0.530982736123268	0.456496191331479
TCGA-04-1356-01	0.55933402558378	0.491540427104138	0.620181836735484	0.714544526266192	0.62040599522149	0.663436687249235	0.547361514610755	0.611549963254023	0.562678912811108	0.472109314776897	0.580124730840854	0.540579056502918	0.589416171551905	0.525004330725125	0.53260125283571	0.541098274271663	0.638354728525709	0.659803154563856	0.689936280179327	0.524685710051018	0.633303206817504	0.581035027037181	0.560527685689761	0.645233281274764	0.556246116737007	0.524869901595538	0.496253305534638	0.629016426032774	0.543843607897389	0.579756777520013	0.47942246740164	0.594215431420894	0.668658038224709	0.525216381273602	0.552047472769728	0.547345475975651	0.594128269629602	0.647436008040022	0.606713198897989	0.565191748496756	0.505465966856494	0.556565661639229	0.49068082389008
TCGA-04-1357-01	0.549556618215417	0.500003179279701	0.604663059614699	0.687505583660251	0.59390093020869	0.664080630521436	0.532893306927004	0.601151077871317	0.555158022338199	0.471145362574331	0.564887430412866	0.542431673248023	0.5905486384105	0.525188206208518	0.532857369165313	0.548691571668479	0.613312732740787	0.662298670804316	0.688248789107031	0.518999486511891	0.621849063661188	0.58425558217376	0.540101412528746	0.638499833668991	0.55215934638864	0.521610435255177	0.508796141708058	0.619247173678227	0.526723591555534	0.58075040852078	0.488365768338353	0.578266410501473	0.668969493077046	0.517198839728294	0.534556340670324	0.546156092236968	0.578070896060278	0.624737970163318	0.587305397182265	0.564136677066735	0.511397913407443	0.546173327688559	0.499541600296706
TCGA-04-1361-01	0.559134405575204	0.513367277451065	0.637977856834837	0.678535003459128	0.598657719957634	0.662704761179161	0.542182427074747	0.610474379030924	0.568739649929998	0.460406051111965	0.572463799036283	0.526247986774939	0.589339637064298	0.490468843575254	0.510516912550166	0.553578555281436	0.607950836171112	0.668828636377325	0.671364573794677	0.522578769702342	0.635863669107123	0.591352981546251	0.538161741558083	0.636839668803213	0.558800190318171	0.5232597214477	0.501511786557598	0.648899501831886	0.547758289893002	0.573444993013362	0.506047139042694	0.580504265003601	0.65373751547666	0.522931770818422	0.514895841105054	0.551708923801199	0.583888662660762	0.64290332366791	0.565752413633928	0.574192110563299	0.528995512114087	0.562201728491769	0.489288436773411
