TCGA_barcode	HUCCT1	SNU1079	SNU1196	SNU245	SNU308	SNU478	SNU869
TCGA-3X-AAV9-01	0.617230914057745	0.626480818631159	0.631312752528287	0.623191740857238	0.592327636545667	0.678333821494067	0.657631193786023
TCGA-3X-AAVA-01	0.547008614244918	0.606277980144975	0.521836040585699	0.531494309032212	0.490924612287684	0.579458607093191	0.540945856593453
TCGA-3X-AAVB-01	0.617885967923472	0.601311318497932	0.609339772844953	0.617660541762487	0.586715223360645	0.666141049549967	0.617942349700272
TCGA-3X-AAVC-01	0.530803081363053	0.542188776445395	0.566228987531615	0.633916956822293	0.539577451959609	0.593888309380169	0.585633386804285
TCGA-3X-AAVE-01	0.551574677701314	0.616631913491028	0.528088362547956	0.54526932230148	0.508198713357612	0.608656601843422	0.563397818975785
TCGA-4G-AAZO-01	0.536140407879516	0.562810070221249	0.532383374808152	0.551623377282128	0.504309045831447	0.588790699798092	0.561698677739015
TCGA-4G-AAZT-01	0.494095367587943	0.52191273030269	0.491825880105363	0.49389898205209	0.419129016577128	0.517444993805007	0.502961128492567
TCGA-W5-AA2G-01	0.494039873738157	0.574476207516405	0.486568409258206	0.503242173147825	0.46606736643805	0.542996099091895	0.501944208898668
TCGA-W5-AA2H-01	0.479004384351752	0.545488939418494	0.511464421876561	0.494827929652697	0.463303162456666	0.495854694641773	0.508098474343807
TCGA-W5-AA2I-01	0.539323411285041	0.593421050077959	0.556871488729096	0.559473116724665	0.509406452160542	0.571846459305389	0.56452169063464
TCGA-W5-AA2O-01	0.529971740852006	0.587770763549272	0.51218254242378	0.524242295513607	0.493047001219216	0.562490171597702	0.538360339373565
TCGA-W5-AA2Q-01	0.557084577173727	0.576285869359979	0.558621677576832	0.550474649301212	0.522849342785925	0.608740022945143	0.585580272745885
TCGA-W5-AA2R-01	0.490875847594193	0.584771872964834	0.500247849061868	0.491547706145463	0.462531013870712	0.5390547377809	0.512509729685862
TCGA-W5-AA2T-01	0.553151707898333	0.602970562250051	0.58353061222775	0.569498169218574	0.519914234728513	0.589858401166591	0.58576397609109
TCGA-W5-AA2U-01	0.565107079395572	0.621958014344094	0.56417342527494	0.563549496840769	0.537996103442385	0.61833166963749	0.591664215366745
TCGA-W5-AA2W-01	0.537596417406799	0.596301222974042	0.544904028499762	0.537498295996874	0.507908977749469	0.580702162823523	0.567626738611705
TCGA-W5-AA2X-01	0.608469581891087	0.572205190142876	0.633031858771115	0.668947439869327	0.612124369976144	0.690698332519382	0.655335170527727
TCGA-W5-AA2Z-01	0.561983382889875	0.604365406588979	0.540227917707575	0.536990787769194	0.526578483427185	0.608727791060178	0.577860996755493
TCGA-W5-AA30-01	0.533592072729805	0.586048573107843	0.542529521533618	0.560719847246187	0.507016097312416	0.58791893501286	0.561335058652366
TCGA-W5-AA31-01	0.50522789106842	0.545777360352084	0.500216249223949	0.513903096486078	0.467539481169876	0.565379484438719	0.512149573475748
TCGA-W5-AA33-01	0.488310415277617	0.56031464986215	0.484424643133587	0.508951714521092	0.459483221561184	0.527390677911454	0.509835063291401
TCGA-W5-AA34-01	0.584039625474668	0.588984925789802	0.540871250061024	0.535805215513527	0.519599902267882	0.612121966111986	0.571188888356674
TCGA-W5-AA36-01	0.542377666198935	0.586891043005605	0.522208375081185	0.512756779404183	0.471064657506314	0.560613762291782	0.521087693536226
TCGA-W5-AA38-01	0.51640011732831	0.595667829700959	0.524119563646552	0.513974733777146	0.488153502041771	0.567207334269656	0.53683788101482
TCGA-W5-AA39-01	0.426219351556615	0.495284174941661	0.446034058150112	0.46524267862529	0.427388553788067	0.472598761422613	0.450359263195186
TCGA-W6-AA0S-01	0.610786722783283	0.651144852191849	0.572018117986953	0.547116771683206	0.55807003696515	0.62652098958107	0.589200782711866
TCGA-WD-A7RX-01	0.481567647550693	0.545190588801652	0.495611111737782	0.503577316848308	0.447278444392768	0.521848764229795	0.515847960484653
TCGA-YR-A95A-01	0.507196229701343	0.559139569765059	0.478704523718018	0.500738714202172	0.44673095930985	0.530554421760753	0.49988494872265
TCGA-ZD-A8I3-01	0.580119447621509	0.621838896176217	0.566159525228266	0.564681550934496	0.541556284272107	0.615315257525196	0.593455467034871
TCGA-ZH-A8Y1-01	0.576097405758706	0.592851270623922	0.561780435673016	0.562944832121678	0.550081013453588	0.629355875633454	0.592312146083536
TCGA-ZH-A8Y2-01	0.543748035357624	0.596727166894629	0.543194415945134	0.550169550246426	0.527067261539442	0.594969183222514	0.55694443926683
TCGA-ZH-A8Y4-01	0.528583792179068	0.614380759421572	0.520891605683312	0.512274969860756	0.496999747021231	0.578394043504202	0.549097777218871
TCGA-ZH-A8Y5-01	0.599869554447956	0.60786756970401	0.593540786682756	0.588088946649553	0.553687260845232	0.629395345713137	0.609961960216199
TCGA-ZH-A8Y6-01	0.477712880243335	0.497150709487117	0.469734624775754	0.501356603593802	0.472755865612166	0.527036059177859	0.495550645856281
TCGA-ZH-A8Y8-01	0.567154418772097	0.577551256196602	0.540301878232431	0.554937912538912	0.506620811897126	0.606285111441743	0.568476660949877
TCGA-ZU-A8S4-01	0.620121031119792	0.618534624254416	0.557574287023122	0.547667697525604	0.547312052503167	0.627669793982733	0.584617404649522
