TCGA_barcode	A549	ABC1	CAL12T	CALU3	CORL105	DV90	HCC1171	HCC1833	HCC2108	HCC2279	HCC2935	HCC4006	HCC44	HCC78	HCC827	HS229T	HS618T	LU65	LXF289	MORCPR	NCIH1299	NCIH1355	NCIH1395	NCIH1435	NCIH1437	NCIH1563	NCIH1568	NCIH1573	NCIH1623	NCIH1648	NCIH1650	NCIH1651	NCIH1666	NCIH1693	NCIH1703	NCIH1734	NCIH1755	NCIH1781	NCIH1792	NCIH1793	NCIH1838	NCIH1944	NCIH1975	NCIH2009	NCIH2023	NCIH2030	NCIH2073	NCIH2085	NCIH2087	NCIH2106	NCIH2110	NCIH2122	NCIH2126	NCIH2172	NCIH2228	NCIH2291	NCIH23	NCIH2342	NCIH2347	NCIH2405	NCIH2444	NCIH322	NCIH3255	NCIH358	NCIH441	NCIH522	NCIH650	NCIH838	NCIH854	PC14	RERFLCAD1	RERFLCAD2	RERFLCKJ	RERFLCMS	SKLU1
TCGA-05-4244-01	0.603594527393099	0.602920362551119	0.598452313828793	0.658127455703393	0.609838393650057	0.570328430916509	0.683773161141106	0.574055292639447	0.600184994617419	0.634380265718334	0.705813671523969	0.695599116615433	0.627260132202912	0.721625732383855	0.654081258396288	0.561280797678803	0.563904414597175	0.598486297958693	0.616289587449554	0.644421616599692	0.523377084303579	0.598060187461746	0.626906316048939	0.590044696830506	0.660502590420918	0.613360667289083	0.584113130802679	0.628909982339832	0.585879912136136	0.664502476270366	0.60874902299743	0.617477679007509	0.642531187047671	0.573331722279281	0.551829180340114	0.663049765417096	0.571214615792467	0.672680302566037	0.591930717481651	0.621447932347327	0.676194250239663	0.596842113746462	0.644020524750635	0.606340544200204	0.605920322864729	0.605861203913639	0.660326705182727	0.598605402993917	0.700593867658923	0.495998957428631	0.641086148910476	0.655095568808152	0.624254583049067	0.562459314450499	0.713860005210251	0.702255566704758	0.573971730800678	0.651010033296968	0.714730305195952	0.633178646973338	0.634204491628489	0.594102330786342	0.71471521401526	0.621998649788232	0.688875681043395	0.533661649483398	0.550961362778195	0.552697758266261	0.569589369692733	0.627565258780442	0.724175985853639	0.624374264398854	0.657966404746461	0.602523958964733	0.578079541871372
TCGA-05-4249-01	0.573683858620166	0.563710825877291	0.544728582692615	0.617727056678299	0.557546649333672	0.532942378635453	0.638563797916515	0.574039314632334	0.537308607481965	0.602406074507224	0.678050208041219	0.67458855043451	0.57389284260772	0.644663023561139	0.587964771903023	0.535692145521287	0.538867676470386	0.561378160976429	0.572813676871352	0.591688952595684	0.490129088155474	0.544037626168871	0.600531099949568	0.539455756679612	0.622294447767162	0.581158988575728	0.552125344742406	0.599384255668285	0.538006143261661	0.618163938940726	0.560725353407648	0.603417265826948	0.57916259112914	0.530805328667953	0.518711859080266	0.625085273559124	0.541579285684602	0.651802355118136	0.551323557428312	0.582692497005724	0.600594060502538	0.548721078591035	0.582964436709294	0.546499548706749	0.566165099068063	0.563177838026904	0.623183546108133	0.563680927216726	0.635188090955471	0.480860614165646	0.583154196244388	0.605839243336528	0.586701391819448	0.526693093042423	0.661599295955295	0.635218871007671	0.538809006505037	0.619833412704125	0.643791446262551	0.591222312065967	0.616999432230067	0.553797255727069	0.673382733249893	0.564991166170724	0.613756972469743	0.510304949456599	0.485754285072248	0.494750780546098	0.565415556207424	0.583644271173307	0.657781296685876	0.578639271590065	0.621490884917615	0.573781470523643	0.528395666544699
TCGA-05-4250-01	0.669531748370003	0.610702173136894	0.655154827889758	0.725943416878337	0.632296499589395	0.586977972068712	0.748525477139486	0.606582199521315	0.632242349184656	0.673802260461639	0.705076018993325	0.736645891784671	0.676362964082236	0.727149616125205	0.714391892771622	0.612147757412913	0.609814260268342	0.622083262047873	0.67082554807001	0.637722692617825	0.583139778634381	0.626849897600639	0.656515137209337	0.650473792447466	0.66910528275822	0.634395863359416	0.62481382146029	0.677718264024317	0.621440012941757	0.71455209129293	0.661330421311986	0.659701923385677	0.689737522996417	0.62140464238398	0.564096405041989	0.715934259020817	0.637840786634753	0.669297690348873	0.663556121396194	0.657927867943397	0.697491616021439	0.639707379834818	0.677165754826786	0.69206851379305	0.665863643854526	0.624382953620346	0.725964064437047	0.644807229637156	0.731287457805653	0.486965225386054	0.666149088403032	0.705047073714398	0.6403384966847	0.598013548033717	0.734698240906606	0.73281016670636	0.61647334604438	0.651692123082632	0.753131946521096	0.697744596333072	0.697115409967131	0.635929210337798	0.723145635001503	0.651796855535617	0.684909360461184	0.547625767807519	0.579107926411526	0.579954288742578	0.608891369025974	0.689340502721687	0.747701354398398	0.691187199117246	0.664009686654873	0.668919875002839	0.62381480576127
TCGA-05-4382-01	0.607097040473105	0.603392936432569	0.584367149167484	0.636382575718727	0.580543679126791	0.567335620577095	0.652510448383066	0.560082776669742	0.566323938589724	0.618145003823606	0.673342382905311	0.662979763103701	0.598065583229731	0.660024276152481	0.6322063673041	0.563871032113727	0.560188837766048	0.570290541329814	0.610289924892901	0.619298308336899	0.553560156879486	0.594403504902819	0.637509819116477	0.617016106543089	0.649800330844065	0.587473695682087	0.61089072563943	0.649257611588367	0.605911395714387	0.648395067379162	0.599987066148008	0.657577033138686	0.607406187162228	0.616569739345763	0.542659658263853	0.691992903200364	0.637617049488555	0.66631182305109	0.596648561894433	0.641873428597644	0.633697626034039	0.607904747134642	0.597782562926782	0.630965647444471	0.638133746255598	0.575299279980677	0.643711535393431	0.607973856601069	0.653743829957754	0.483500361397827	0.640852830184779	0.634441938606787	0.645168888740428	0.601154384965449	0.649219488255002	0.657900694619775	0.560505391111433	0.685176080174028	0.662226779510705	0.590269402147426	0.619922418489172	0.604561796208385	0.696672178958514	0.624027866056818	0.62133437042788	0.546153027101412	0.561166797310737	0.557358426246813	0.569095773586271	0.635450502841618	0.659374998495134	0.624459268198518	0.656199496759216	0.614502922945678	0.566408868439955
TCGA-05-4384-01	0.5680683902268	0.556477624747317	0.55000655665053	0.606912432104109	0.556833093474275	0.530454102750496	0.630087055419141	0.544659259758485	0.524016033160001	0.58040238701782	0.662752949149524	0.639759848714825	0.575434689165679	0.63735691033552	0.573082761389069	0.534787016565171	0.5416891731409	0.556943538573195	0.570094607614197	0.605779409478606	0.46631719941661	0.544693946751067	0.615367406591711	0.557479983776907	0.648078442962655	0.579619978248726	0.549650656497422	0.609269883916123	0.57350165039	0.61548391675429	0.554721440760353	0.602074205475393	0.602018626675267	0.522302422527453	0.480170974157586	0.64469775864876	0.551907658790096	0.631937269406236	0.550727701487844	0.583159899181771	0.591544166498898	0.577846204914553	0.557293246000768	0.560729779316807	0.582245746217276	0.546283521576419	0.612482545486152	0.54964662058931	0.633179738687615	0.448871026942859	0.62484512254947	0.648871744665219	0.608004687448466	0.536305606014713	0.653342998589268	0.628658774791081	0.508430622641296	0.627275290661468	0.643171258671182	0.581496463304225	0.593059826232656	0.558264336858035	0.671726513696006	0.57469706148245	0.621230179751177	0.482625835373707	0.479407013198901	0.497404713488096	0.551773390162304	0.593183721180732	0.653836960238889	0.579166893049115	0.640949148990004	0.577524224565586	0.524763642470473
TCGA-05-4389-01	0.607977964172447	0.55658572114795	0.553036821884219	0.638643214060779	0.559243517354152	0.549135780839347	0.623024434706831	0.587635200044625	0.526878831925652	0.598290624336039	0.653490677810441	0.64188283513301	0.58330354733568	0.627290168451233	0.587034800564299	0.510092551861326	0.514877422251699	0.540496871693494	0.58134624208837	0.623411022625012	0.486549861380857	0.562050062668195	0.642680614101556	0.608386611422912	0.648512731262802	0.566749589354688	0.557167097676124	0.638816786321525	0.570146676372833	0.634168211588385	0.556563795568924	0.630643031609324	0.596140036508969	0.537430721830726	0.495926048031629	0.656542710725332	0.592952076352253	0.630412449174987	0.588809969935412	0.612747722098459	0.600607322636322	0.611758379492171	0.553173913679204	0.579713942656585	0.621873044003677	0.55863965073488	0.636859786185501	0.5446488865549	0.636328151527535	0.465600776707098	0.612225197441378	0.65673665773714	0.610129029621975	0.533115411209371	0.65974136689032	0.618810339690915	0.528627955777729	0.632470311879287	0.639873324316178	0.595406175597993	0.594938263511054	0.564498990584994	0.656813957313303	0.567672516721771	0.584633203658283	0.501670127451387	0.499448714178361	0.512186517024755	0.578834465880139	0.593162002536263	0.643241292482758	0.581387643674182	0.612918403155361	0.597971027574839	0.539219687000534
TCGA-05-4390-01	0.561020699558845	0.533922196955481	0.526398047748233	0.593229237675313	0.525319630121353	0.523902501010469	0.606325865025459	0.602049626913245	0.522625372378727	0.563770036940659	0.609252861208367	0.62940417049544	0.568574210913777	0.587796382369564	0.573688282810955	0.528599820469247	0.534269678790949	0.545367540749199	0.557304765741338	0.568161392668096	0.480845910368493	0.521288079381567	0.614872974590342	0.533434648388512	0.617213295932084	0.550428048748148	0.532742134383947	0.567608460965376	0.525185826617792	0.574426928384912	0.542575423825823	0.598419528171613	0.571427931031788	0.520484155231519	0.481830216000942	0.673362705160629	0.5740967791179	0.606140186615019	0.557145421462975	0.56340636452032	0.592127121632355	0.545034671863316	0.551013789897333	0.543076766276417	0.560422618593661	0.540864936737795	0.619182413422247	0.530944869489268	0.616643402355344	0.465367165353019	0.573694462208247	0.60185255132866	0.570614192696869	0.525674450728579	0.617325918383923	0.598358380849885	0.526656505032163	0.57707059935212	0.617198228150812	0.564852143875046	0.596653892249187	0.514774053965829	0.61778339734031	0.532818514150742	0.565980496865549	0.503228762177719	0.481074269196199	0.494847989261268	0.590140033778323	0.554765035702394	0.607197277525433	0.552327646260065	0.583394104407977	0.571185828990246	0.521391034216296
TCGA-05-4395-01	0.654187732159982	0.628754384409114	0.662777660140465	0.693308587479358	0.63944195601651	0.580151291518014	0.694099366996288	0.581432618929456	0.615502620260342	0.659593310469772	0.703556152010092	0.692966730458613	0.706237420375581	0.705505315079005	0.689625359408678	0.575175924492271	0.576429337539509	0.648062327404195	0.658593463707801	0.674646220430409	0.543124323627976	0.644133871333585	0.652692598525665	0.633758500438023	0.717399366832964	0.642627911008804	0.633443870165743	0.689076272069786	0.650009165293681	0.729339752763478	0.655998411184875	0.637650798375351	0.72889199368313	0.601181463820448	0.548879328692536	0.679850172051918	0.617837271631581	0.690275702229131	0.641175604599593	0.645038069470423	0.673204188692227	0.662782551830331	0.668188982491534	0.666574871456346	0.663422417696449	0.633407917050927	0.713769607210383	0.626558512055635	0.718953653809489	0.434897960065098	0.714918983926359	0.756215128588714	0.684604116280813	0.601996575865034	0.711730854347871	0.70158917631168	0.589416298086726	0.647025849145253	0.69540097707511	0.668048233661689	0.701682685465822	0.671372975874119	0.706067207213227	0.654448080155523	0.682224567061238	0.511983538925748	0.567732335242679	0.587668319394452	0.604648231185111	0.701946782145558	0.70968682157254	0.685562970163716	0.718534988607604	0.670733447294196	0.597452467280847
TCGA-05-4396-01	0.569217513286296	0.560578190496139	0.531516324237852	0.620830412477183	0.586776504421692	0.564295969687151	0.61151057876269	0.574966540440859	0.529080104778075	0.5864836731551	0.639276496901012	0.616116504917912	0.569194948809812	0.631861061808237	0.578897876934904	0.513325687535792	0.521833631717529	0.570558608485977	0.561595669695149	0.606265582376937	0.476437004744353	0.538427084763485	0.639252274538899	0.560860845135992	0.619686224591572	0.574399077572069	0.539014172709022	0.618128447907138	0.565178030400293	0.606496036193558	0.535187204979171	0.620153645459376	0.592774959289301	0.513360193546079	0.478934826043336	0.629520175694432	0.562218440362436	0.627477235325481	0.559419668173246	0.561612265911455	0.590713179015381	0.611780800111408	0.552746308071511	0.556845194345609	0.600571901767491	0.544318776766839	0.617398344537017	0.526818874038513	0.606188844608355	0.423985634333581	0.594164604743467	0.650934979267744	0.592951320431064	0.526556280856321	0.635849881819698	0.611034376599337	0.50471870753736	0.589276125123564	0.608133688589906	0.573857928832128	0.588715708341323	0.561076518659924	0.640412453271755	0.576637460112069	0.607915061794529	0.462524547082489	0.488882082693267	0.487433144245154	0.568966278414608	0.568599714590526	0.637449050822886	0.556035541517547	0.619434938689396	0.567845716904931	0.530277599431801
TCGA-05-4397-01	0.615962942167626	0.576824202061523	0.581040367068125	0.635869078872635	0.593668828065012	0.553118052025237	0.642210688035644	0.53222809386072	0.584669756475981	0.623258783166049	0.650245516286752	0.670748055731634	0.615486884670608	0.645210593800068	0.616045550056685	0.56467707945132	0.563932193961942	0.563973548025425	0.617331535663802	0.622219931799621	0.539335623012768	0.588928529956566	0.632499810714138	0.564834803147983	0.651182426977062	0.6185388142475	0.590264560161548	0.630278058150233	0.570378204803862	0.651243979565134	0.630487103847275	0.635181360211077	0.622945275235577	0.574898164754076	0.557256847630954	0.648244327147253	0.583705096771767	0.631550273166709	0.611341951772298	0.64608107212608	0.605629678141428	0.613795147224926	0.626540392958761	0.59176011552289	0.629321817721954	0.596607681960386	0.659048546357069	0.596917718237351	0.649098496469346	0.497101476041103	0.60710294383307	0.627250881695544	0.611159471653966	0.583715987773249	0.705773665062711	0.639861842872705	0.582465677286088	0.625385816512857	0.640744098422966	0.634890455063596	0.634674401075158	0.578457105394038	0.654451805282005	0.584684782199837	0.59413907812331	0.543207338158615	0.531699985908158	0.5664735352097	0.547318484825296	0.62316762010323	0.640565265143556	0.615853973780096	0.628303464762309	0.644637225109791	0.580661205330044
