TCGA_barcode	ACCMESO1	DM3	ISTMES1	ISTMES2	JL1	MPP89	MSTO211H	NCIH2052	NCIH2452	NCIH28	RS5
TCGA-3H-AB3K-01	0.52460481338312	0.539118949462692	0.607108561012643	0.618483553471112	0.622345050058506	0.556092858819796	0.513370872747284	0.558968714047516	0.59399264274287	0.530913197017989	0.570283395566771
TCGA-3H-AB3L-01	0.584130245578106	0.56510025474694	0.652306166060856	0.693638113138629	0.674067632315792	0.615735079935669	0.568806918390715	0.600732067670064	0.657460980521635	0.54443189893644	0.595775495342235
TCGA-3H-AB3M-01	0.566641517895886	0.560757923188392	0.662601964666649	0.641968140929687	0.654716578799136	0.624806011023123	0.565402033965655	0.621083201078052	0.611671369512626	0.546584964368209	0.603083937019569
TCGA-3H-AB3S-01	0.563480375525728	0.57820772556305	0.667465258439489	0.674362000504198	0.680096939777611	0.60853929259605	0.557751254613058	0.604367546074105	0.63716551112902	0.554599482113023	0.619870006097457
TCGA-3H-AB3T-01	0.638343427983322	0.614478297988959	0.734534040125046	0.715008141769868	0.756706932140435	0.689965278038234	0.625313525398167	0.665908843079513	0.705912222559034	0.592042015096704	0.660453685083403
TCGA-3H-AB3U-01	0.510969116613511	0.516757425308828	0.622211434653063	0.620572315743103	0.618537813416198	0.553837948748213	0.51848934156521	0.557373779824447	0.591396723454025	0.53001095881168	0.555516116063261
TCGA-3H-AB3X-01	0.489609767190742	0.523637694192197	0.56620510143877	0.567630111494867	0.575554757664789	0.544721681402442	0.484817839479041	0.532687262915933	0.545831633906299	0.497690242770437	0.544199944595389
TCGA-3U-A98D-01	0.602922176320242	0.624162307284562	0.660454720992989	0.684118576267108	0.682449036092424	0.645724786618637	0.589501236380046	0.636402484249999	0.649386430664833	0.539086194706241	0.652470151070076
TCGA-3U-A98E-01	0.540006609488546	0.534610206867659	0.620673852427239	0.636914328030363	0.61732813680549	0.566430391680338	0.531781694559396	0.564096405700644	0.60363326306125	0.527723684372338	0.572762801052047
TCGA-3U-A98F-01	0.540112010459806	0.579274310180214	0.642698326993692	0.631780948654097	0.642735385145327	0.604232049094941	0.578902560408685	0.614171592152301	0.610706286573746	0.563063375063585	0.622499364738925
TCGA-3U-A98G-01	0.581338710554914	0.683785237341455	0.652231987649981	0.659256359796395	0.683733525862523	0.65933677128093	0.604351446813926	0.666524157471174	0.652792544539123	0.558378231522059	0.730235929786558
TCGA-3U-A98H-01	0.525673613807179	0.531578496701729	0.627275382922905	0.636477515971549	0.6426351407193	0.574752049663224	0.53276798275721	0.573158176492087	0.60140088954445	0.536147786313202	0.569806739369922
TCGA-3U-A98I-01	0.577067581768498	0.615501738575717	0.666001766585281	0.669625692013416	0.674888137843314	0.649190790665201	0.58205596197112	0.644293640403625	0.639631638619723	0.552870461221215	0.651599798353186
TCGA-3U-A98J-01	0.516139065868137	0.545326336932623	0.590978723772221	0.607380558385936	0.600144679589981	0.568455214791777	0.517391696229106	0.560890269691147	0.577358741666092	0.502959195319394	0.573095442425041
TCGA-LK-A4NW-01	0.542423496233914	0.568639474629851	0.632547849441038	0.650134950342455	0.645793141619182	0.589260181783743	0.551420855047873	0.587868025149287	0.612081969157401	0.541877905396495	0.603565657823399
TCGA-LK-A4NZ-01	0.489056961309183	0.501552135507371	0.598609538990302	0.604147909816891	0.596673868594903	0.537489866692713	0.495957515258869	0.533654061377099	0.559841641075752	0.512518825591405	0.529621771846204
TCGA-LK-A4O0-01	0.653641967148986	0.663481958244791	0.728363985333518	0.718809175040996	0.745591509048616	0.714623199586704	0.646986398067517	0.71121270373013	0.720587549017771	0.599443505744858	0.706338912452889
TCGA-LK-A4O2-01	0.629028268065138	0.572508280957913	0.695050638197975	0.710933006132579	0.71522987742089	0.643326998438376	0.603456350125495	0.644091628263737	0.694463056733587	0.578695437090332	0.620065286046186
TCGA-LK-A4O4-01	0.472319746380576	0.532003579844291	0.511505972130622	0.545387748583382	0.53443148251365	0.505276599411069	0.483227192904225	0.511159953708778	0.527875955640854	0.496856771943272	0.546793559922492
TCGA-LK-A4O5-01	0.583622506042479	0.549018903731413	0.677845924296957	0.674178980848482	0.679259542511687	0.605007791027125	0.566344441116311	0.610014980358334	0.648275100674102	0.558616114274704	0.596676837592152
TCGA-LK-A4O6-01	0.485149555153772	0.505480781430163	0.588109616890767	0.583694030131248	0.592414955401942	0.536044189867963	0.49090472462184	0.547009972683449	0.541536625180658	0.503933194585375	0.547231628546004
TCGA-LK-A4O7-01	0.572653595356456	0.570678012291195	0.668226332373024	0.678462004715803	0.68374047424606	0.626769449282497	0.563793096519107	0.622968049462638	0.637641454514144	0.566071475593054	0.615745577840659
TCGA-MQ-A4KX-01	0.502652121488608	0.512657595769235	0.589476358115444	0.609920947722569	0.595762107405661	0.541850862538207	0.494243851804177	0.530831807429165	0.57064828832892	0.497329423653447	0.543293243884457
TCGA-MQ-A4LC-01	0.52463736872782	0.521193582461399	0.627950428322712	0.638539709852967	0.627888278987106	0.56053390996122	0.523648550432	0.562655713185254	0.603886461405345	0.525886591175892	0.555353577088762
TCGA-MQ-A4LI-01	0.549127630032377	0.556782548248969	0.621433831540673	0.628547184373313	0.627902734579983	0.597804084749542	0.543521884346944	0.599281864572691	0.603653777022212	0.51011561855474	0.590517740056254
TCGA-MQ-A4LJ-01	0.541134510736607	0.559928459328854	0.622630780738531	0.643314129264546	0.63673570806089	0.596005431858555	0.540240922497837	0.581766816493606	0.613813120031648	0.524149061382257	0.590294170791145
