TCGA_barcode	GI1	H4	HS683	NMCG1	SNU738	SW1088	SW1783	TM31
TCGA-CS-4938-01	0.476958458596129	0.511424026555958	0.489816032502329	0.499447135909997	0.470148734756725	0.487273084818055	0.489038692378004	0.491654425061131
TCGA-CS-4941-01	0.534741092480433	0.561859938973415	0.559622279091289	0.563092492705412	0.511620884819782	0.548506626198404	0.550915405795431	0.540783159360444
TCGA-CS-4942-01	0.470441691871932	0.508705719604096	0.480088509914661	0.498381305161477	0.470113818004458	0.476819411775759	0.471122616677311	0.481706750194229
TCGA-CS-4943-01	0.525451318047484	0.564216753032366	0.536534996117354	0.531780125924889	0.521769978254092	0.53309586023261	0.527068070159475	0.533691705695683
TCGA-CS-4944-01	0.468068515724635	0.508006862720096	0.475478167529942	0.486755852181241	0.457587753337106	0.484008759584102	0.480676278683372	0.481351361528309
TCGA-CS-5390-01	0.480088286106202	0.522110192965072	0.483920281969656	0.508818925563247	0.470613271634629	0.488368430564399	0.480935239624889	0.492839563388377
TCGA-CS-5393-01	0.468020950322135	0.506368466784736	0.463520102529319	0.481915134753836	0.461977171854294	0.466553484946531	0.462673219451574	0.472259171834771
TCGA-CS-5394-01	0.492434688894838	0.541583327327512	0.497076681587445	0.51054159408469	0.488449821761371	0.50224832745399	0.493327448559411	0.502569968702137
TCGA-CS-5395-01	0.517169115078343	0.543879853998455	0.539098957569931	0.550939974290509	0.491389062680885	0.523066966692339	0.535879389573112	0.526735340289018
TCGA-CS-5396-01	0.515542719372432	0.560020157634607	0.535157659394976	0.547800288947894	0.503634449887221	0.540599055623152	0.526480135723496	0.542192340544253
TCGA-CS-5397-01	0.529566311890976	0.563386631748917	0.550698936067999	0.577123042997097	0.519840692853397	0.539484713458598	0.546983313082627	0.551394680561994
TCGA-CS-6186-01	0.539966927820848	0.566323181601288	0.56095100460699	0.563257372330689	0.524032516953945	0.550596464978505	0.549122080462022	0.546543933287193
TCGA-CS-6188-01	0.582727053154656	0.607190655146479	0.603053751245545	0.612842475725303	0.550764367633363	0.5966473536134	0.602660352769348	0.593505516993854
TCGA-CS-6290-01	0.489763741654186	0.534239260480186	0.498324831576251	0.496585077181517	0.484747548390414	0.497683873896806	0.490702675531819	0.497349447292528
TCGA-CS-6666-01	0.53321756336241	0.56306365654941	0.53833046401507	0.525668832437093	0.521984459307051	0.531796097542734	0.530154884186062	0.532068459369417
TCGA-CS-6667-01	0.4987745044744	0.541243395218052	0.506662424295298	0.51402152955686	0.498687825829901	0.506042357628991	0.509121254143701	0.51029141835157
TCGA-CS-6668-01	0.472442612343741	0.511764405255027	0.477970806108172	0.501587090051399	0.464627700951263	0.480462709031265	0.47164432895499	0.485335929654285
TCGA-CS-6669-01	0.388010216958224	0.424771200883867	0.380605662794154	0.42152979105301	0.400860746966683	0.378407094238909	0.378004674353691	0.398258882437802
TCGA-CS-6670-01	0.460864980795951	0.498309829284873	0.465262799744605	0.485062568859115	0.45336835126075	0.467021139596989	0.465626315468921	0.467335775661361
TCGA-DB-5270-01	0.454422608196611	0.493273822636923	0.461079187174297	0.487590548025635	0.45380030843278	0.458723293751864	0.45983469065414	0.47564315014712
TCGA-DB-5273-01	0.523418895805422	0.551430238185274	0.533002812916956	0.525267097744381	0.49771944730363	0.52636913180601	0.528126620368017	0.52839900091404
TCGA-DB-5274-01	0.472614786400163	0.510063343322117	0.476160416672467	0.490645815712134	0.474079546664477	0.489427938478277	0.480905537539559	0.489748807058337
TCGA-DB-5275-01	0.492898980850237	0.534199990850713	0.497173552733972	0.503710483007104	0.483824692952254	0.50357040632307	0.497504569938028	0.505789051631032
TCGA-DB-5277-01	0.515565603280945	0.554647789144764	0.530971203062232	0.530853238548379	0.503667064702249	0.519805212661493	0.525499897846206	0.521091045393968
TCGA-DB-5278-01	0.442181189119975	0.479890551596678	0.447015026217673	0.468421060758104	0.431767222451031	0.447882309060532	0.444949204472152	0.450894027047363
TCGA-DB-5279-01	0.440179787895203	0.479393730382101	0.450801770112503	0.464713475843225	0.424528380466472	0.454015254150385	0.453318646705186	0.451160174340823
TCGA-DB-5280-01	0.496728322226106	0.541568394022221	0.507329014201071	0.508488987151662	0.484699220326495	0.502234230057757	0.505775317679604	0.501614647685654
TCGA-DB-5281-01	0.491677188447477	0.533278979817217	0.492915594866963	0.510907177170167	0.476359218246336	0.489911794769382	0.492916736594753	0.500597590050319
TCGA-DB-A4X9-01	0.462084788870501	0.484831299994313	0.459678987122684	0.480385361754828	0.454297229676736	0.45609914244017	0.458756562110297	0.472737888619205
TCGA-DB-A4XA-01	0.471889211831847	0.515694410092822	0.477216782613509	0.488970582575138	0.465717059458631	0.485328992510885	0.478586585742673	0.484257777850832
TCGA-DB-A4XB-01	0.50008401023374	0.531908565501937	0.503009051446356	0.513416950804895	0.485700124955775	0.499296785062796	0.49322189755789	0.500721402749521
TCGA-DB-A4XC-01	0.488775962656478	0.525351486316743	0.489854818614514	0.499421396474069	0.481094439875633	0.490636889060369	0.485933809796855	0.489279642879245
TCGA-DB-A4XD-01	0.507962332787265	0.540182365063143	0.511045140061113	0.511193877780516	0.491832484027244	0.501254869372348	0.504044805053791	0.504215621123236
TCGA-DB-A4XE-01	0.487743437074521	0.521621661200911	0.492986644683236	0.513474424883993	0.482904034990763	0.48765419711942	0.490410375863362	0.499247588000239
TCGA-DB-A4XF-01	0.503409475589014	0.539387006067029	0.514582148232249	0.533176111867915	0.494949420419435	0.50979879523172	0.510928346072736	0.519745060970559
