TCGA_barcode	COLO680N	ECGI10	KYSE140	KYSE150	KYSE180	KYSE270	KYSE30	KYSE410	KYSE450	KYSE510	KYSE520	KYSE70	OE19	OE21	OE33	TE1	TE10	TE11	TE14	TE15	TE4	TE5	TE6	TE8	TE9
TCGA-2H-A9GF-01	0.651850897527656	0.60776692962623	0.566138916308416	0.598641438686745	0.587872439462884	0.563915813724758	0.615465175913354	0.605170792669088	0.56862169949836	0.639739625549209	0.592348538419174	0.545089533076735	0.721546325513078	0.567634627887547	0.719670164001382	0.632762503407589	0.615282651268306	0.61319545425534	0.627797393173135	0.627429489968452	0.637568118001318	0.62359141479008	0.594001160713275	0.600361974825463	0.61756265299385
TCGA-2H-A9GI-01	0.597516284426497	0.584677340452432	0.52407737290515	0.574177201157613	0.546429119470631	0.530520050706395	0.576615214017221	0.565692534210231	0.536950437290808	0.617223999154784	0.554279259166049	0.51051768371941	0.738004338924809	0.561269323062891	0.70991750665914	0.581386966771879	0.573144593841144	0.595682146204707	0.610954166494029	0.593480592478785	0.595831723386194	0.594730534953767	0.561440607577167	0.542828861580538	0.586819198454128
TCGA-2H-A9GJ-01	0.591787721657574	0.601460221123641	0.537804936800946	0.556012173646133	0.57705077827859	0.553054800947145	0.577448604019382	0.602934003260698	0.575978388617975	0.60597333050256	0.562974696997434	0.504808143920962	0.699943724363337	0.552456289980287	0.652580859713398	0.574385251513549	0.595863614112399	0.582104009951173	0.622584097450536	0.596836400434204	0.622233738467656	0.579013292629535	0.588677494518294	0.555505587676305	0.58868699601026
TCGA-2H-A9GK-01	0.646229579886073	0.638086224313816	0.58118718248172	0.606887961378441	0.603045529096946	0.57916860570856	0.616631247805411	0.626617497698768	0.590648345752351	0.660239184092905	0.608989968185927	0.556093032696527	0.724924122566646	0.619494282186065	0.729118824384486	0.623669621779458	0.639375463738676	0.659303193601282	0.661171228820382	0.652281456233794	0.65456528268607	0.634128675653905	0.614311471103161	0.596019488496657	0.642441410989873
TCGA-2H-A9GL-01	0.579909999565485	0.579149568454182	0.549418367552478	0.566512478456602	0.567433761580183	0.572801558859285	0.577331608661554	0.59306393728544	0.580997282587224	0.601081270780793	0.565027741819191	0.530413627522132	0.668228576256031	0.55281790464995	0.660301001093402	0.582625961255746	0.584418885405437	0.581763549983667	0.610500436774534	0.578076500680993	0.614754838270116	0.589382293506938	0.594842905960332	0.573819385241102	0.557738419054106
TCGA-2H-A9GN-01	0.617872161380137	0.605048528263037	0.554860157766024	0.560642846364192	0.573235787263644	0.59322345816637	0.556281085236941	0.580898466895632	0.584269163643952	0.615371452330531	0.569365733303982	0.541233030663963	0.697126545279415	0.576653680338599	0.668591172075068	0.612987519853373	0.603386031797768	0.602429349575331	0.63920169705224	0.581306297254764	0.635669551177878	0.584826231259968	0.598524586027266	0.603385611519531	0.582128480370154
TCGA-2H-A9GO-01	0.595185187665601	0.607502092228766	0.556440014367467	0.581006927115883	0.591230726777227	0.556483834168601	0.598329897785	0.615385416674089	0.573868506869545	0.61598730423268	0.568412655186365	0.519985983907124	0.720146669795149	0.559434003596367	0.676835148981886	0.579363322048797	0.607786749374464	0.589285802651554	0.632436992929485	0.607762526392739	0.619708020902327	0.601342013974682	0.589895745450446	0.551489298901037	0.596250231865731
TCGA-2H-A9GQ-01	0.683080980676942	0.65962206292564	0.664356239262946	0.63788112165807	0.684280633628689	0.701549018303985	0.677383455377038	0.647809563718321	0.693406900876094	0.656407902380956	0.66533583448139	0.610714636634159	0.597879395661529	0.625787415055136	0.649075705537051	0.678324596169484	0.67929512657092	0.644726435419186	0.666708565730531	0.641777279334558	0.662652846235922	0.647827667363746	0.699605052525515	0.688526933707039	0.638960462172757
TCGA-2H-A9GR-01	0.630197475125059	0.624438919635431	0.573749756604907	0.611315108680339	0.582364251082403	0.57194962652169	0.624611803321476	0.611167502748615	0.587268015239243	0.645741545034047	0.597109724679344	0.562708637774965	0.770020950279901	0.587497642160268	0.727293670063004	0.620412445399484	0.597796048417255	0.618081790303261	0.642358872187098	0.620851895225857	0.628766037301568	0.635348520712486	0.598361148051824	0.589948484023326	0.615919186312477
TCGA-IC-A6RE-01	0.593889876251051	0.590449756182456	0.542044903748142	0.56815596635766	0.562267185039935	0.541945081905587	0.580211794514378	0.584399482044617	0.558914722058443	0.618039114954965	0.567683555213791	0.525831332642628	0.737235657159254	0.57179926505997	0.673794104381393	0.573764629340142	0.589723278041503	0.593355272042285	0.626553341017064	0.597871736538091	0.620421149195627	0.591885477021794	0.585252255349732	0.557257403673342	0.599224684794763
TCGA-IG-A3I8-01	0.693144851979556	0.723086741499448	0.738733940452882	0.655546987233465	0.731277678370617	0.703383912474328	0.655794776210253	0.682131881379784	0.730832112672877	0.71032042408534	0.731543324293496	0.668548283706214	0.557954529127165	0.757009322488125	0.647893899305081	0.669346285028685	0.720411480368666	0.758208364650264	0.752411434628062	0.713721678056475	0.663914400948383	0.692144482569537	0.725612392024736	0.722676587679207	0.740651703369416
TCGA-IG-A3YA-01	0.663506971543216	0.699629220008163	0.724421565986777	0.627986144042705	0.724417514309579	0.664866169026296	0.637240267374767	0.659735590475417	0.696862109312124	0.706463492087005	0.706165307071198	0.663385696924912	0.585574156403572	0.768173531018091	0.65109033566073	0.637665862653556	0.718136962422332	0.752025510622704	0.751047366181687	0.716241996150434	0.660434369086881	0.669272635350203	0.717249978025826	0.687799788640701	0.748787191320593
