TCGA_barcode	2313287	AGS	ECC10	ECC12	FU97	GCIY	GSS	GSU	HGC27	HS746T	HUG1N	HUTU80	IM95	KATOIII	KE39	KE97	LMSU	MKN1	MKN45	MKN7	MKN74	NCCSTCK140	NCIN87	NUGC2	NUGC3	NUGC4	OCUM1	RERFGC1B	SH10TC	SNU1	SNU16	SNU216	SNU5	SNU520	SNU601	SNU620	SNU668	SNU719	TGBC11TKB
TCGA-3M-AB46-01	0.645464913478082	0.605803891580002	0.494458539564849	0.482907564463462	0.533096226652927	0.561781917113535	0.512708506974167	0.664988217050783	0.479268159114432	0.494326965787752	0.704971485612983	0.483234107396745	0.624036333753912	0.653705882321294	0.62922436000093	0.49990507668454	0.526687573464241	0.564862681773254	0.666684505067132	0.57258040885442	0.536494882283051	0.549782603165462	0.643736845087603	0.585902315758394	0.606426759890022	0.646355791928612	0.658752652873973	0.565599656835684	0.500374143993624	0.489976152177943	0.689110645046914	0.57931013703448	0.650978075173666	0.64680814479861	0.677702682274577	0.684984718469075	0.578584330353116	0.615834835031864	0.621762257014815
TCGA-3M-AB47-01	0.642581851942826	0.600920467015601	0.522412543904395	0.506419602549255	0.527562316504972	0.564555949308503	0.534678927858213	0.685552786109298	0.490124348783378	0.520302617073935	0.693146061601581	0.504237743280231	0.629753321610882	0.629891099422372	0.615569195025303	0.508643995349902	0.529692077498079	0.550048895980231	0.649292225728866	0.538128803138082	0.527947478520921	0.532390736344889	0.641567002337456	0.568271941683777	0.580294193735885	0.66331181099324	0.659328752198874	0.543620701849752	0.499386869734512	0.489430619982901	0.701086174874	0.557297945303526	0.646118719476956	0.65204322137856	0.651197716142908	0.679727572153202	0.569987419552664	0.621348677551147	0.625060888026329
TCGA-B7-5818-01	0.607964421329597	0.612558082112611	0.484194734787122	0.434791367628699	0.507040830234917	0.535665511513761	0.508051963798467	0.634416946650353	0.461310664338526	0.505198285276492	0.643822034291703	0.47513993650126	0.589051104773524	0.615199707567638	0.639526242852284	0.503455640518053	0.525374410528026	0.547462717311002	0.639913063457295	0.556084098418528	0.535156033804807	0.54059394109494	0.641971530696047	0.594075859857429	0.586152980910086	0.645000793212411	0.619614144052034	0.536690435847368	0.516902074491386	0.491258634577103	0.629429449111053	0.554231671008165	0.620469765565012	0.629245755055489	0.67499153400983	0.679025153350545	0.553854762379469	0.613277971165872	0.600885877785081
TCGA-B7-A5TI-01	0.64089258367122	0.598319537504538	0.490690311077478	0.49283118244736	0.536861091475693	0.562864591747714	0.518794594880826	0.669969502487548	0.469676832341747	0.503787907722122	0.696388053536192	0.488076453019689	0.618645460602399	0.637626243278999	0.618351871521802	0.466197000607758	0.52091354942028	0.561860670163297	0.677867053267995	0.561940335945835	0.535116577573963	0.547419837599939	0.653461422090598	0.596637750497193	0.584080356422339	0.684439071781103	0.659251367905757	0.575443624837375	0.503017060522194	0.466192396075048	0.670682761360684	0.569048202818295	0.646544281118318	0.652107269561807	0.663035560302091	0.674288456139485	0.560034020601691	0.601207872355494	0.604714101415951
TCGA-B7-A5TJ-01	0.637662319381744	0.606688912145976	0.516530068568272	0.460393110797727	0.508657297882985	0.523673629530689	0.517211844251076	0.710849276923015	0.455611520880538	0.469626413346313	0.720776340555405	0.462732123644822	0.636971540096981	0.675675080583784	0.65959075710055	0.47077727141038	0.500718527008614	0.53357048201367	0.652751280248685	0.54564224894995	0.536724176083907	0.530542846584545	0.665419937657366	0.566659328262681	0.580500683605954	0.668164851992108	0.696709922842438	0.535021870776501	0.485788158371959	0.475673974017451	0.700001564415056	0.546224657692625	0.629491599539899	0.663395650991247	0.690704135040329	0.712309851639367	0.561496302678226	0.641404266766547	0.63419423430534
TCGA-B7-A5TK-01	0.661108593015448	0.664246532211663	0.508331687182517	0.489208865473719	0.529332043007811	0.566731768920933	0.552535405331154	0.665469666157348	0.494673757771786	0.561518649063195	0.679868610791559	0.520353752432321	0.617280003403883	0.674163287558677	0.669002657846458	0.527954977768311	0.565250656371424	0.604211596642849	0.684040388579205	0.627961940293888	0.58667263465925	0.591832090844993	0.681722756453193	0.6487184793559	0.649808331161984	0.638261070258628	0.668770984371794	0.589887472626057	0.541909391839191	0.499455979816523	0.656036806982783	0.612844021724918	0.664829271566694	0.628154337749505	0.706106851403348	0.695932030981221	0.59934437491221	0.644430462945305	0.64239598704267
TCGA-B7-A5TN-01	0.684233717830331	0.641928562098741	0.522440562309619	0.501837618388648	0.541230747464522	0.585220780845386	0.545333296766751	0.699592224284859	0.494295405002545	0.527043855692868	0.736361889698149	0.512166258770183	0.661962374594076	0.695566421331736	0.67450022728132	0.486441678670451	0.553586352208824	0.601155716546996	0.713878684713951	0.611171703525226	0.582560089450179	0.593927348077719	0.705166884139911	0.646162908103835	0.633215103795294	0.713814799811495	0.700758995334632	0.606774692112721	0.535382461316881	0.499888514660075	0.699037519981105	0.619899382073615	0.67338136449049	0.674667775348609	0.729494752130752	0.720838308996463	0.602179112465117	0.642282650298568	0.660132436313906
TCGA-BR-4187-01	0.648662822366843	0.604953784934279	0.526582313552157	0.526294371617917	0.558377945888961	0.582007938869695	0.550312688950066	0.686587948928307	0.49094191271566	0.53141566733249	0.708050484702511	0.509320531550079	0.633557253329601	0.658451799281247	0.644112034951156	0.499634636718026	0.529742394032443	0.577614119513101	0.663125674719408	0.560106889447373	0.538490737802984	0.5635942338171	0.648608860544695	0.598133945507971	0.593449426308782	0.673117412014396	0.683126319086284	0.586704292549924	0.513295769562166	0.481248910601391	0.69450891790028	0.570188012672218	0.667948297938722	0.659541131281177	0.660876332068606	0.687016498628708	0.580881395015691	0.62586229984943	0.628035592545026
TCGA-BR-4191-01	0.605305780051436	0.623108913270652	0.45409156702213	0.467763514626073	0.526867604109967	0.55567754184886	0.497631776254122	0.62888626758435	0.451379126500736	0.501840504883019	0.646151122004975	0.45856124608566	0.581858083716724	0.6190614524288	0.633098818506195	0.517695110830358	0.511814832715904	0.481482645142683	0.600029498661991	0.515065802054564	0.499613251459396	0.506822726558962	0.594798623462068	0.519651229754062	0.548885090039863	0.623039492377737	0.602015259224661	0.506768870677083	0.483434326361361	0.483547895874402	0.623531244370328	0.53409625596634	0.595195150028371	0.617105891836538	0.642595416933132	0.662510841172838	0.516009856962117	0.603622749947279	0.57868034063177
TCGA-BR-4201-01	0.659749340632829	0.636912267297563	0.545104660123824	0.489955498470203	0.524845532255025	0.577596103133203	0.575292210629611	0.662060154174442	0.527131453993617	0.555312087349969	0.699442581720083	0.53641799010244	0.634725092243131	0.67038077376777	0.641496077821193	0.509188991295757	0.570117840681593	0.646560243731238	0.723098219713353	0.640233207526606	0.614787104842446	0.640472982018366	0.708241138889871	0.681539740359913	0.666622885868747	0.665759656664003	0.683684232903151	0.633355596608997	0.554598437673456	0.504066532490688	0.659140918920557	0.615415471107444	0.669702538121294	0.642718679889398	0.707089616990721	0.686842061597212	0.630887952125939	0.626383947810991	0.675331992943232
