TCGA_barcode	AU565	BT20	BT474	BT483	BT549	CAL120	CAL148	CAL51	CAL851	CAMA1	DU4475	EFM19	EFM192A	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1500	HCC1569	HCC1599	HCC1806	HCC1937	HCC1954	HCC202	HCC2157	HCC2218	HCC38	HCC70	HDQP1	HMC18	HS281T	HS343T	HS578T	HS606T	HS739T	HS742T	JIMT1	KPL1	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	MDAMB468	SKBR3	T47D	UACC812	UACC893	ZR751	ZR7530
TCGA-3C-AAAU-01	0.583255109448736	0.586622662598591	0.675602101054278	0.724606547890462	0.564490916587539	0.572287454649355	0.665678309373738	0.579775302752765	0.554136939911796	0.690640856139788	0.57169719899353	0.657922621774333	0.670731485908127	0.588138724252	0.573025350867185	0.591838376483848	0.647692546922234	0.678788635117413	0.700697325047709	0.571429153184798	0.567152396070964	0.550865574649027	0.584518837976301	0.612840411789739	0.624921304482636	0.575631132032058	0.664009948526036	0.615702228510467	0.581819796758555	0.561778000074923	0.554816734921105	0.58176799268577	0.577677030625219	0.557498217381721	0.578734461336057	0.59022563854415	0.562698641972551	0.586977527147551	0.687602975671137	0.686528249271391	0.690711831789645	0.583716567605545	0.66764909839984	0.592373626831641	0.669686863992522	0.646280081491891	0.584611050954786	0.628362682468138	0.584275724292756	0.607904325366922	0.663470625317299	0.679713355467449	0.601442223807808	0.695655288530765	0.673003594268621
TCGA-3C-AALI-01	0.662059150142048	0.653379291015395	0.723850298679733	0.742580342678106	0.588706863710417	0.592157501770395	0.709024833757091	0.615807416222847	0.606313737026805	0.710028183552061	0.588359841025246	0.695604869093344	0.758893338247859	0.6319021679725	0.599323210139522	0.63538581540975	0.737002020481751	0.709899421261405	0.704231729824307	0.627172838777358	0.62727028708903	0.614170803387937	0.645944205799983	0.674776395166734	0.730004724552573	0.633502378541427	0.713005108495758	0.657881413317396	0.643427365253001	0.62951548151549	0.590474534490849	0.604706337109679	0.596016123912238	0.60132872234399	0.591756770613209	0.610956160886756	0.574592953377252	0.635022525822827	0.721906088205682	0.707507314513804	0.671920349388541	0.614295962976431	0.71692743244145	0.622209708541416	0.739441908369757	0.69465598834083	0.597035096090586	0.703426212762362	0.649280529736362	0.69295715217451	0.721455172288892	0.714759519001732	0.68458508236852	0.743222463742477	0.751393495370092
TCGA-3C-AALJ-01	0.588467813199814	0.609918369560507	0.691817920897598	0.729831792895109	0.593865145495201	0.608137144767408	0.670755514706126	0.608333706143602	0.571707936028388	0.701177752771407	0.554806053159422	0.673022117361719	0.691012364352906	0.603596469472378	0.585843413589717	0.620242701494503	0.678174029497521	0.685193222288867	0.714760153363252	0.602471065765396	0.599065185120782	0.579824796185033	0.597828952421351	0.625874202115991	0.649064770058808	0.589629224949002	0.678937276644206	0.628600718580878	0.600966866870788	0.587618179910501	0.599317019088514	0.620426268590823	0.613997014539191	0.588741938667973	0.609861724580894	0.629007414008656	0.587005626863645	0.61314537023174	0.718418832713019	0.721049277756645	0.697230906153837	0.619607850485283	0.676396723727607	0.62162955213514	0.698193497356129	0.638597050699388	0.603103020878237	0.659996997578324	0.591746084559068	0.620305380050722	0.679742973200355	0.698635874706474	0.62042486424541	0.697130155305406	0.690414473579366
TCGA-3C-AALK-01	0.615838206839176	0.611886535506005	0.730994505955307	0.740458186980561	0.601176015334402	0.612337336459766	0.681881461948514	0.61755914592735	0.623400177349511	0.717419712826443	0.550332122306903	0.686731311754647	0.711309148781698	0.650612741775374	0.632212174007574	0.626735255312308	0.689737183350786	0.682577819007378	0.738599866020309	0.613915345287269	0.630254183259901	0.604800050960285	0.623872225436924	0.668622933299579	0.682507698725991	0.622235329474876	0.708490610762275	0.66180310155791	0.644869724408878	0.624923580448637	0.574097606607306	0.635386408072032	0.62417386984361	0.607399472226761	0.634306069633559	0.654929752830066	0.615645050547418	0.618162877544702	0.704536190901145	0.700114707415245	0.678140149273146	0.602120814068867	0.710215838056417	0.634712156737693	0.729932248142203	0.699617335814473	0.606511212548944	0.675068461402206	0.65308943018591	0.645298608206874	0.696576034568917	0.708057661600972	0.649287112875164	0.727249516741967	0.729433796649324
TCGA-4H-AAAK-01	0.593698292742962	0.591206310791441	0.704514466619583	0.726633637046729	0.609103958007574	0.629958110910788	0.663124891761785	0.628944724098621	0.61074031346228	0.698717356677212	0.546529031594789	0.688509396047381	0.694084793087311	0.648602897612636	0.629067316301363	0.625020334803877	0.659967651347302	0.670917011718906	0.710889131691737	0.605050792312439	0.627274201628038	0.606701464336734	0.622341722588164	0.646112218882635	0.653955344875688	0.615743686266539	0.675838354555802	0.668145841081043	0.625768658571108	0.628894478699449	0.570175251938902	0.646728751814879	0.636861698089336	0.60617245955352	0.645737855300305	0.667508729841126	0.62633802155999	0.616082990396397	0.687871000928774	0.677591327126677	0.67041065021187	0.6084210011425	0.6892736185272	0.631799109640618	0.696351153824627	0.677715443634037	0.609740642934615	0.643951907731978	0.638095911074573	0.628151810095318	0.683777409185248	0.699800953705343	0.611209488576147	0.701083759660661	0.699204565525337
TCGA-5L-AAT0-01	0.576893681719232	0.578838429325581	0.681630641022996	0.716340885797305	0.577108250910947	0.591958776923284	0.653870186011614	0.606260343186139	0.587583894833252	0.691993279819349	0.539369697757294	0.667531053511053	0.672429140595035	0.620354329955612	0.604337966237415	0.601352014062583	0.635200174444454	0.655062947561393	0.702214592073432	0.594059354002692	0.598216787075366	0.582546961365057	0.598718378557094	0.61825501348498	0.632353045294096	0.593335531310502	0.662151397738427	0.639196145002559	0.607517458527225	0.603568716746511	0.549354328810059	0.612894684594261	0.605351460241506	0.582531086474854	0.614871616748925	0.634096693474216	0.595179865373995	0.594215605832083	0.669086924071774	0.664857733126022	0.673396471853631	0.584989334860218	0.673670884950592	0.602620516091625	0.67249555747064	0.672885506426949	0.580519593519229	0.639666526497302	0.611247813361638	0.607253348124501	0.670006577922537	0.686689240943801	0.597911739537606	0.680050559342396	0.681007436433908
TCGA-5T-A9QA-01	0.598864871598741	0.605929118609263	0.700904361386635	0.730380984757092	0.56035256614214	0.587856963069274	0.671909894853108	0.623782146213306	0.577176144196197	0.727789934205414	0.563389565541937	0.676840136746725	0.71445683839737	0.609293748014205	0.564295721001728	0.599212968718623	0.686319297785586	0.667510720389781	0.696725382823102	0.609242714799103	0.595829695339543	0.594710628528241	0.620249662750626	0.628063557643694	0.667696714058494	0.589008055781112	0.706045150691767	0.628026393080092	0.596910778936792	0.594282017858036	0.567125238390261	0.563391891896013	0.559328621401491	0.548039988036533	0.555964304435996	0.572204462977563	0.542710674982313	0.603256743756534	0.708516474861673	0.702081009168939	0.675316140776145	0.574313270574567	0.719278399435723	0.602409138345974	0.692968862373904	0.678169194216741	0.578826502255802	0.668180398590799	0.602037503612116	0.643822826035802	0.697713827703755	0.703064811174555	0.639560312424807	0.71252675099907	0.723056609766258
TCGA-A1-A0SB-01	0.569922568496539	0.564988921188305	0.634053172044516	0.628435531163434	0.596215806486662	0.607290925924528	0.613836488537679	0.615784413302939	0.615390146286413	0.606381434536288	0.499504987064423	0.591940138842405	0.621543419984625	0.667217429800473	0.674389965074097	0.628593082593597	0.579393882861592	0.596671610848915	0.607140485610255	0.646725482962967	0.689207681855161	0.613103031584354	0.611838952596101	0.632490418178215	0.58716863233423	0.662875262701374	0.605886634261722	0.700835646640264	0.618115686969177	0.61724195681599	0.552841411011782	0.602319945073817	0.597938191842739	0.587618845576801	0.61310785239063	0.627386412554678	0.583769368488209	0.585168952249094	0.612910738187969	0.595002996666279	0.550200716580208	0.590059093689577	0.626908690399253	0.592053438293063	0.637963916831678	0.607275193210558	0.592795355920561	0.568908438128865	0.644319191849344	0.58850024495265	0.602315216448668	0.602451443250021	0.56583408254371	0.637260364300021	0.623874792732633
TCGA-A1-A0SD-01	0.605809426778043	0.581747838845613	0.693291600848416	0.731318209337743	0.586470305059398	0.608999155439606	0.655974425346891	0.599896279260902	0.610100376374491	0.679381932988498	0.521281644065536	0.660343287331004	0.6962539146622	0.63331366540947	0.629070088571392	0.611071867742169	0.659135797238648	0.668226504232382	0.704700971275003	0.596741395304467	0.606961734971955	0.596680295249058	0.602965048180129	0.655552693957448	0.640997702673407	0.594805461652004	0.678572281584703	0.656511804141341	0.621607781012486	0.609254073929948	0.557683424385653	0.627539597508038	0.614603820059666	0.595302370267369	0.623393487731281	0.639044326758635	0.613876280310142	0.59986845318098	0.68387306192768	0.691179278138178	0.64244972376469	0.583882036443666	0.69905484038745	0.609341225438531	0.697070934874181	0.683251098063603	0.602363175024075	0.613134026279215	0.632514168212847	0.627023216437089	0.662719991855341	0.682900040635338	0.618635626905974	0.697926562266308	0.695385788588995
TCGA-A1-A0SE-01	0.606866439038085	0.581251250962267	0.690805255089153	0.729665949744693	0.591606182347417	0.615081553915865	0.675734960028878	0.614850570495688	0.607346110423583	0.69588869743491	0.534816725659328	0.681105316789222	0.685075277206913	0.638224023229736	0.629469723668718	0.612632339441488	0.659264459883594	0.672790841057225	0.721381672108088	0.608747684862952	0.61947805819699	0.596576489247948	0.600447656562206	0.644988832152216	0.648045504825322	0.620119755346732	0.67565594652257	0.662411808777456	0.625082011749665	0.609568742332435	0.557747027125044	0.620808402423148	0.612803432273047	0.591135097202053	0.620573884253856	0.637992573049639	0.6069516522217	0.60284242315106	0.682339583208891	0.680826071880128	0.665154345048747	0.594702621843814	0.686844377568863	0.612605579475805	0.688032492140223	0.683539052488144	0.599172515256337	0.635049398210921	0.634020832810974	0.633957805697981	0.685036221152311	0.682875539022874	0.616405659074016	0.708071258365032	0.696808171704702
