TCGA_barcode	A253	BHY	BICR16	BICR18	BICR22	BICR31	BICR56	BICR6	CAL27	CAL33	FADU	HS840T	HSC2	HSC3	HSC4	PECAPJ15	PECAPJ49	SCC15	SCC25	SCC4	SCC9	SNU1041	SNU1066	SNU1076	SNU1214	SNU899	YD10B	YD15	YD38	YD8
TCGA-4P-AA8J-01	0.705599347291733	0.68079745077935	0.726170677075863	0.668553307098738	0.686536753944903	0.768644630071009	0.680790567661564	0.719973573394405	0.697550869055379	0.680806006130933	0.65666664408282	0.545247697005582	0.674471304715589	0.625514776666455	0.683725249022621	0.702464659898859	0.714729273381567	0.73363681800985	0.735829705585138	0.718337098612031	0.640996662092685	0.697477340072621	0.659871405290188	0.670018979103379	0.692835707883931	0.681199539382619	0.649050510376746	0.619326805060013	0.631647225582846	0.630379453015298
TCGA-BA-4074-01	0.640830586009465	0.640326744100865	0.680775864783787	0.59606700640792	0.654843535709718	0.687973744948701	0.629982011001566	0.712362421945248	0.678483842637595	0.637565246790045	0.610752862056123	0.556357188988655	0.661655665393684	0.639375545920125	0.63586820603934	0.644717911944659	0.687999380581034	0.717689432817852	0.723571533321943	0.736342167956036	0.6167865044813	0.657461632174642	0.595080521748611	0.622647226213731	0.635812513731985	0.685494457027753	0.627663499294676	0.617423723513623	0.620049214676455	0.596821691868106
TCGA-BA-4075-01	0.689030548197744	0.697164337513698	0.744204883426803	0.637435821012292	0.691237862851702	0.755561823744162	0.695360605036818	0.718697461833629	0.722458919063762	0.686436918710507	0.655620102927422	0.572677009424524	0.720817374733061	0.697459515238799	0.699285687800859	0.702713110869842	0.749134452039389	0.776975236792955	0.779301169463663	0.756747118434761	0.670373826223321	0.721739051012216	0.664591162738542	0.687863798193407	0.688161145027353	0.699762998252271	0.68434343622704	0.651232495085451	0.664188516704278	0.652908181406491
TCGA-BA-4076-01	0.708436622982603	0.681370362864168	0.772827566145508	0.657089913679099	0.721350179732594	0.75365937329859	0.741118561347364	0.715367082383605	0.712549228141357	0.683222249846293	0.656249274533026	0.542879474873928	0.692209758755575	0.657324668971282	0.672100653223059	0.703101629578624	0.736575479759383	0.762807361215451	0.742981220246298	0.715616032319467	0.709144430403966	0.694597166277348	0.661699358176101	0.649866729482489	0.743990139019062	0.670150927731404	0.677728726927156	0.619132117899573	0.641829147283661	0.608856862812989
TCGA-BA-4077-01	0.708444633748191	0.634814890519302	0.725156751393579	0.650333114429328	0.688792978257496	0.769543993479544	0.695199948975864	0.701442609515806	0.716827374685476	0.681029920024968	0.651601543835654	0.490238483175359	0.639373146436446	0.604036842150313	0.670801667863927	0.700688387077804	0.722633091357654	0.722275591433574	0.71205675443373	0.68005332408329	0.616120561905843	0.701129807969837	0.667434295878821	0.643893868776652	0.687485363975654	0.670832809349722	0.615561839774465	0.598747912625764	0.612611961737848	0.593400969465915
TCGA-BA-4078-01	0.650956221667571	0.619726721163881	0.658310830660477	0.688961478960993	0.600921268759346	0.661917546680664	0.603959558638488	0.603741154427459	0.664139748859873	0.634433392788406	0.636516463838343	0.579437635622261	0.664919671703593	0.593256961743921	0.679366278271976	0.631388338011731	0.660148575204324	0.661985807626395	0.663068142417132	0.650829580965972	0.57302196674117	0.651754878145768	0.640951455000892	0.625061260738202	0.641284220829584	0.624528270116078	0.622522604185945	0.593788167563308	0.58019478501641	0.609094445032829
TCGA-BA-5151-01	0.680158207421539	0.663818385423643	0.720436631478485	0.617987232498518	0.713414827672338	0.703343548474954	0.733659479297381	0.69575457757776	0.707243834951468	0.681037572347878	0.620247581534082	0.532690949308646	0.676454726468695	0.655752411491094	0.66349768493756	0.675565629542814	0.69222765997927	0.745737970035705	0.715659532099968	0.696765685910698	0.693697301569807	0.671976230499674	0.645831031569669	0.643553048484568	0.743916335717491	0.666775934193522	0.666083752497408	0.610632592122129	0.634397922764497	0.592418007064744
TCGA-BA-5152-01	0.658770862794314	0.6541680813841	0.693922922302191	0.602254135340664	0.690393990764519	0.715064912820243	0.687200837980701	0.694968786311798	0.696653305995564	0.663461986978672	0.619397105611416	0.460173813852015	0.649643231844891	0.613031467863094	0.645871959505253	0.669252139023844	0.689116576808286	0.69509906456328	0.694773971351282	0.665484505509973	0.645202146796732	0.657576417548401	0.632860672989758	0.624699629709248	0.706480698174462	0.651850747990128	0.632464578724524	0.59448017674265	0.614447321632316	0.554342872549359
TCGA-BA-5153-01	0.627376083330349	0.609304784642412	0.646132108563692	0.610063981930442	0.629596338957458	0.660369790459199	0.629695815144942	0.646574409900885	0.67098135825409	0.656842487294272	0.616174662745593	0.521598468531605	0.624140889360761	0.591502660659099	0.637731892497756	0.650401082367298	0.649325421266084	0.673961749632695	0.636588092511422	0.643882463867556	0.576121906056279	0.649549402260046	0.63631180957754	0.630602589335268	0.62276143144808	0.643839609317567	0.586832883475845	0.581644475499422	0.588745693203099	0.570925378154288
TCGA-BA-5555-01	0.656890550376552	0.608514279481812	0.686940314449025	0.636180335562243	0.658422453031871	0.687598567772476	0.648241795467629	0.725122827976507	0.682411296761604	0.659658064224137	0.63162115088615	0.501014906724356	0.628151301305255	0.584059564846514	0.644509302747328	0.655788281955557	0.653860460621698	0.676522905607022	0.658559838745438	0.683107703682219	0.59322107578216	0.676035023842177	0.637680189947878	0.636962729521335	0.65435667942199	0.689671046060756	0.590531762625505	0.579740644160968	0.60031800079836	0.549146538821079
