TCGA_barcode	A101D	A2058	A375	C32	CJM	COLO679	COLO741	COLO783	COLO792	COLO800	COLO829	G361	HMCB	HS294T	HS600T	HS695T	HS834T	HS839T	HS852T	HS895T	HS934T	HS936T	HS939T	HS940T	HS944T	HT144	IGR1	IGR37	IPC298	K029AX	LOXIMVI	MALME3M	MDAMB435S	MELHO	MELJUSO	MEWO	RPMI7951	SH4	SKMEL1	SKMEL24	SKMEL28	SKMEL3	SKMEL30	SKMEL31	SKMEL5	UACC257	UACC62	WM115	WM1799	WM2664	WM793	WM88	WM983B
TCGA-3N-A9WB-06	0.634467805186166	0.695218307445319	0.614171477921606	0.689968950813626	0.528500152014925	0.687142854894766	0.669432121735419	0.702130860165361	0.68915623846448	0.723552444203096	0.699106680800614	0.694394243129297	0.564079853640539	0.640203690162437	0.587219840599133	0.642985396598225	0.577314766086744	0.594703604600883	0.654261141490063	0.584149768619764	0.594532338918787	0.712932045228546	0.731753871636969	0.626170186267908	0.677954439131974	0.671494399650554	0.683850353320946	0.722739474545796	0.73430281683154	0.701823371785439	0.538825767868634	0.723478871827581	0.593438920121651	0.690809511646483	0.674237162370412	0.695565036949808	0.640064810476664	0.71549074441382	0.722260196969036	0.621535004883422	0.726975251357598	0.705488926043254	0.752341746382624	0.644018075529165	0.677463182600261	0.72916582630358	0.66973214535537	0.652670898189498	0.720511529931912	0.688403686817684	0.634601194138158	0.675842061704442	0.713966021684078
TCGA-3N-A9WC-06	0.674235151630576	0.70395633488668	0.660298726259702	0.731775712251338	0.49262028459791	0.701479601635755	0.731860595252534	0.709012450179294	0.741495236326344	0.751326914591239	0.73914316865829	0.711287255713009	0.628772281250783	0.681170106178366	0.617976407995342	0.680448093567372	0.612654409249905	0.610842168865097	0.711771580906614	0.613868877876194	0.620301362646973	0.694524108208801	0.745660812978954	0.667791487800349	0.704641796954002	0.72711021903872	0.707242195007198	0.725030025047017	0.724321574911672	0.729225565359553	0.578752429360497	0.728681222323904	0.6463846887292	0.703009246693963	0.702810702293632	0.719928796121726	0.672998117466444	0.716154326857134	0.71404311839642	0.696371833294405	0.732928416573141	0.713047051652458	0.71586463198188	0.719687463297321	0.718850823634577	0.746639530161026	0.714875640745705	0.69558160053165	0.759060358789583	0.695579016261279	0.673663199656971	0.717662334374532	0.723879562001436
TCGA-3N-A9WD-06	0.595613188387041	0.623781400859672	0.570022650415472	0.64686850938269	0.527768802416898	0.633406783771459	0.638181658055146	0.634120094476388	0.662173597824687	0.670125800510397	0.660563693371049	0.619106896073088	0.556346849359537	0.604593541389287	0.577504221009593	0.605770921782027	0.570269705051193	0.583941731401395	0.616579557225913	0.5743135529684	0.586184011675364	0.634326121070291	0.64951323227345	0.619063711819936	0.619497198030156	0.625012693010752	0.622029958592998	0.635299134657232	0.642495059072836	0.641239350649547	0.489641723475133	0.66406622727014	0.549182918139237	0.622223990678883	0.597158151456072	0.653148956775039	0.585828535617724	0.645709236983772	0.65596529622839	0.62155770258863	0.674154864681089	0.652080918062718	0.648472995610903	0.628332661210828	0.625705218295501	0.664734068032315	0.620128042277756	0.605827972339806	0.663389695127039	0.647804521495876	0.578782348560983	0.636649781703791	0.651365066062395
TCGA-BF-A1PU-01	0.623089553335673	0.634556781003837	0.584935090268931	0.666137765143502	0.483409344966275	0.64212209730532	0.654518007534439	0.66146907071891	0.712106419720537	0.706892827595381	0.692788161353222	0.652275521228433	0.565221906581213	0.635915892075885	0.590057929047115	0.627945900401213	0.582254882737919	0.601763841557878	0.622456392249298	0.584134698119162	0.594776502335516	0.6451059221908	0.700304881240214	0.624821900032349	0.633989754279274	0.662225075242965	0.660720025305149	0.686415560727943	0.660227750325549	0.69411235976166	0.493498237464118	0.747166912130621	0.567716832975294	0.666593263463075	0.64594948493467	0.672370792843838	0.611651153218942	0.6778460106193	0.655633513457278	0.628400965310154	0.701297838207865	0.691340623583772	0.679217184613789	0.651416375284119	0.684756352654765	0.717533425674326	0.656605745990807	0.627739001949613	0.7108211154441	0.676059193489285	0.597213498608004	0.680178285718011	0.685928413453145
TCGA-BF-A1PV-01	0.649560533137199	0.685407916666887	0.627672561476918	0.702080326837479	0.531048792462998	0.663270939246299	0.682148248792685	0.696761530709181	0.725407120915199	0.719858139180851	0.707060095991402	0.665786179140155	0.600354507960767	0.668568160628257	0.640518933732666	0.645781680548937	0.636566423029494	0.65187563191241	0.688704705549484	0.643616556514167	0.651941048309335	0.655910135735085	0.747215591644417	0.682920245327242	0.674459003315971	0.70090136707488	0.696290070457367	0.69426693460636	0.707319629634615	0.6954917692454	0.577555219937663	0.737944076563851	0.6308188724766	0.666549683492346	0.676903646188273	0.696819235532245	0.677769439241718	0.711627724983004	0.66540368637216	0.658464000672563	0.711185277112621	0.721390052829478	0.726036835600708	0.682318224123955	0.68567237064602	0.737483295232072	0.685461924885771	0.688292725165877	0.718682960044723	0.698187928939641	0.657950371021099	0.687402472617531	0.722795704863915
TCGA-BF-A1PX-01	0.580748395783915	0.608088579871055	0.549324522534112	0.628530329147949	0.550356103954969	0.607071165922778	0.600481407704268	0.622033845624406	0.655576625624786	0.655258962099583	0.640497742229981	0.595514130248114	0.516687033741651	0.578504393102156	0.557279243433261	0.591767378421777	0.539999454813642	0.561369448515783	0.601776503635322	0.53930932757091	0.55195234115192	0.617573194031895	0.64877622503132	0.592677442647957	0.618446394985167	0.601855970805698	0.61641524072181	0.630984042196949	0.609193664601335	0.635191574865844	0.462871285057116	0.665725948651901	0.520709841209031	0.614744201535031	0.574675688496567	0.62201261734642	0.584597969973503	0.628287106889655	0.637629713843208	0.593685657952859	0.655534694746591	0.634513526680234	0.648089414239199	0.607160520090152	0.608685962107682	0.662361266640221	0.603448141452893	0.57951426666785	0.6413567025176	0.624083637440579	0.564847531562131	0.626920995291214	0.625163747826221
TCGA-BF-A1PZ-01	0.680110513294872	0.675989328054221	0.636782686319879	0.676341930933244	0.496626458216889	0.713414808419003	0.686589706521414	0.700833438444599	0.720568685538394	0.724257889535242	0.730457103489294	0.725551083485178	0.579986606727048	0.682650149739045	0.578913944910025	0.638968600897116	0.571584512389829	0.586295508703884	0.648754642097778	0.582145197293024	0.590052161720638	0.700433344101641	0.741695627623165	0.615726125685927	0.697582366460318	0.684038281237606	0.716755551174842	0.731801807495012	0.721464182703124	0.737821761576391	0.518457207739125	0.769686951278404	0.595900148979634	0.720030167589556	0.683703109030642	0.720446114619939	0.631441916894692	0.70194490757943	0.70438373084933	0.650067592465434	0.744373818787397	0.699877127861952	0.735458803393545	0.675771075308514	0.716484423702272	0.772363126894734	0.683232228168581	0.645835606104713	0.723934080447097	0.701387705475774	0.621159126307513	0.708267464419055	0.699477967978965
TCGA-BF-A1Q0-01	0.701400411841133	0.708122036749551	0.67498745712242	0.712992415741585	0.529806428510327	0.687793166211214	0.691149334385177	0.698964531017496	0.687304164353796	0.72991530029999	0.729608899870479	0.686774482642673	0.632829875756648	0.716988585722954	0.610483651506911	0.686797255550045	0.599922320908388	0.619025166125196	0.701117375405547	0.618764707940327	0.626171039239323	0.669906133179426	0.760502267666075	0.654749794919432	0.726739599396627	0.742716035794648	0.695894800531269	0.690574625806621	0.704958378808718	0.702298050535466	0.590563654808968	0.701598357297459	0.635225827705713	0.665895046212992	0.709407145237932	0.700699101539846	0.667396219245689	0.686631019408529	0.657197808090199	0.712305020863054	0.721516023691553	0.700795696711958	0.694823719409895	0.728054240237071	0.69759300131908	0.697628599421903	0.712469468572917	0.72653659314132	0.727316121368298	0.675960596548642	0.701334917358532	0.706858936535567	0.734194100914613
TCGA-BF-A3DJ-01	0.643325651283665	0.623470658209852	0.594810875279424	0.644184518077137	0.55045011346793	0.629764601270134	0.590766661291242	0.663353825477318	0.633498483974876	0.684069111368597	0.683547809994677	0.612383604876464	0.512920592930903	0.651461978521281	0.574194103556895	0.594181857098912	0.560006789961211	0.580874546681574	0.580197548671212	0.565123312590879	0.58042003449213	0.598438716039306	0.690097547567702	0.586131115970003	0.637675963959737	0.641768658824373	0.616660816764864	0.610878700067344	0.655159702931284	0.634232967540476	0.496166615958138	0.711879682578031	0.58456888571505	0.628074967884823	0.584960097273574	0.610086694229638	0.631092643997368	0.648669186786669	0.664026736411391	0.645673332465667	0.668325795167533	0.609983340685758	0.656540404218378	0.671574885311143	0.614853241437552	0.666005086356708	0.631001497245576	0.616873416693968	0.686209126857413	0.684018479877238	0.591510361128867	0.658894685021653	0.648345152430112
TCGA-BF-A3DL-01	0.634174355543974	0.655942793043374	0.599743315519941	0.668826651118824	0.450716945763512	0.650151069146563	0.69789163264394	0.671127536878687	0.706542834980145	0.696079382085259	0.71184711159903	0.705755924184321	0.57675713484013	0.640011623419201	0.587924403436011	0.626701973564306	0.578553846594248	0.591734623579225	0.654655882700506	0.584746408884265	0.590533699025459	0.671042274230087	0.715247741940266	0.625998853595894	0.649420395458351	0.661990424720756	0.698542929828086	0.737173292287198	0.684055037567326	0.729963221942789	0.496163796291216	0.750381088162974	0.565304230357188	0.692723308371053	0.646407465150754	0.696340398083109	0.624810447282518	0.6886803807835	0.659071600299641	0.618844668003004	0.70180811372881	0.717476490953328	0.710014086481387	0.651271740662464	0.708361071911517	0.743871673381875	0.657348398941655	0.63198362161698	0.694371707625715	0.668327251565413	0.604222006662413	0.660714864469206	0.677931145411631
