TCGA_barcode	8305C	8505C	BCPAP	BHT101	CAL62	FTC133	FTC238	ML1	SW579	TT	TT2609C02
TCGA-4C-A93U-01	0.612310149370223	0.59968090369921	0.621148932190808	0.576961094940266	0.541774719022617	0.599332892605868	0.579088999988274	0.673318410857091	0.602366209827752	0.451932946650061	0.590792995244219
TCGA-BJ-A0YZ-01	0.513620545899755	0.507760729396681	0.513019285454057	0.474163891274638	0.49411158174547	0.5244732662489	0.505199008186075	0.624052277677329	0.531738416986097	0.441927688501513	0.511258155572584
TCGA-BJ-A0Z0-01	0.522754454268108	0.510933072834599	0.530325101526742	0.491597717737259	0.497844405539517	0.521709762786697	0.515449922027282	0.622962671868145	0.520273426342705	0.46473978005176	0.513765246075202
TCGA-BJ-A0Z2-01	0.544392082413215	0.542245621451145	0.561467322648057	0.526295574107652	0.549303026812776	0.553494507966705	0.540937931815814	0.646998398417101	0.54466458580532	0.49513746363682	0.553006156714863
TCGA-BJ-A0Z3-01	0.576591665757851	0.563773428245789	0.586955862684518	0.549214104067531	0.546844687690099	0.567821730114333	0.552064237948967	0.66433843633349	0.565678133735575	0.484000914727685	0.560123866904722
TCGA-BJ-A0Z9-01	0.637551378314994	0.62987770636699	0.640623116202614	0.609859182499437	0.579199702606889	0.631031957891855	0.611742225610834	0.697765017147141	0.600275848599795	0.475658694050018	0.615209981777304
TCGA-BJ-A0ZA-01	0.53599598317091	0.527984664229327	0.543116466326883	0.50171679904768	0.492730865079043	0.534768284463394	0.517388804462856	0.627208465184623	0.530933974804421	0.464483789258658	0.521981716202713
TCGA-BJ-A0ZB-01	0.575609860169793	0.576625291249804	0.595790155397796	0.564327902499377	0.543870465321137	0.584390924206906	0.560699900375031	0.658447984860225	0.564462169613682	0.463673533125974	0.578610603624831
TCGA-BJ-A0ZC-01	0.502869447586165	0.487133218750558	0.50485261051677	0.46548418406518	0.466522665388353	0.504687505794612	0.494937698380361	0.595806313117141	0.507404214062589	0.438267041380861	0.492568907513948
TCGA-BJ-A0ZE-01	0.510518515124426	0.502920648642073	0.512526615556686	0.475726100159601	0.481669576332208	0.516073154366945	0.490549556913539	0.609416008052976	0.502399421432916	0.458761822066621	0.497367008330603
TCGA-BJ-A0ZG-01	0.506632682935236	0.495866739197302	0.519787502031805	0.476534438912853	0.49126105926356	0.50998457940616	0.500482141103896	0.61406026430692	0.521795352034991	0.449261246187174	0.502714771862975
TCGA-BJ-A0ZH-01	0.561224835745346	0.568828948451379	0.591746410912896	0.555071603961997	0.539123531538793	0.577178686734876	0.549199181375235	0.654601984755294	0.553031895147414	0.470184944457749	0.562576703835074
TCGA-BJ-A0ZJ-01	0.535911441677977	0.531594706348387	0.55834854430649	0.519487751188919	0.515072955477883	0.542880913268866	0.523378311151029	0.641152839757235	0.531439643603778	0.466693447141232	0.536612664684693
TCGA-BJ-A18Y-01	0.51462013417375	0.510499256619271	0.537572150279376	0.495880604417047	0.507583288438217	0.523146384307373	0.510999092713323	0.627869906379547	0.520688887439602	0.471828979193987	0.513693549410644
TCGA-BJ-A18Z-01	0.603197266332241	0.591522622145624	0.614864600276145	0.5668129521823	0.556270397548203	0.608202704611677	0.582801486942958	0.686477061885571	0.597051335213354	0.4944708210555	0.592794887230352
TCGA-BJ-A191-01	0.523270247699142	0.526054545467436	0.552589490739148	0.504352386916451	0.519917238973085	0.535438195818182	0.517945577436833	0.637839547975532	0.525929554594317	0.480985669939607	0.52937116256251
TCGA-BJ-A28R-01	0.579882224994717	0.578636157512227	0.600510755469288	0.567105620087427	0.54167182323349	0.585615556054046	0.557186906943691	0.66791733869066	0.562822025661435	0.475342846081033	0.570978011636039
TCGA-BJ-A28S-01	0.522538687997415	0.519828337819983	0.546212207074169	0.503595736305943	0.521749039843568	0.53545686125046	0.517853029417226	0.627973545955359	0.536484538407183	0.469951208415752	0.527197899389115
TCGA-BJ-A28T-01	0.566059751610162	0.556233729935106	0.576318888111628	0.549702222295656	0.520825318515041	0.562958884848592	0.550586696146355	0.659880888473478	0.559599362978124	0.480950804500626	0.549679021820685
TCGA-BJ-A28V-01	0.516539728060824	0.509860439556497	0.521881906303804	0.481239226660035	0.501602258019531	0.521748333474672	0.512200293334448	0.620504350474651	0.531111948519725	0.458848749878473	0.502485012813442
TCGA-BJ-A28X-01	0.60619349841253	0.595298348791787	0.618055651510823	0.585051620153013	0.54644190780254	0.602502726777402	0.587052696688972	0.682361782533176	0.600330409268526	0.493275396707777	0.588790532876005
TCGA-BJ-A290-01	0.567032910595387	0.560518427844262	0.573894303438044	0.538348020983675	0.53913993335302	0.567641592107423	0.546292331573928	0.658190339893752	0.578202495495861	0.474886381438879	0.569027801057921
TCGA-BJ-A291-01	0.505893384875148	0.481253940635135	0.504401282678049	0.460611048143415	0.464123527004985	0.524075241900046	0.492997362227192	0.596993507502647	0.51383157708437	0.441066601699594	0.496042334110674
TCGA-BJ-A2N7-01	0.542152552002339	0.534006074741336	0.555372581405523	0.513441852305283	0.513607315050615	0.551015860433357	0.527969813062675	0.64285697169897	0.542962877042501	0.480055160701868	0.529884644275501
TCGA-BJ-A2N8-01	0.535916295638545	0.524104347883937	0.547633309280833	0.504591412761337	0.492642929629269	0.54403403481095	0.513132012714221	0.630996680945008	0.516474428992174	0.467274220736911	0.526655624972604
TCGA-BJ-A2N9-01	0.509383359336362	0.492262435720464	0.514991276861726	0.485313626056829	0.489698650060796	0.522122468364882	0.493693674935167	0.618773791026092	0.49675590664649	0.435789776302614	0.502052735262331
