TCGA_barcode	A3KAW	A4FUK	CI1	DB	DOHH2	HT	KARPAS422	MC116	NUDHL1	NUDUL1	OCILY19	PFEIFFER	RI1	RL	SUDHL10	SUDHL4	SUDHL5	SUDHL6	SUDHL8	TOLEDO	U937	WSUDLCL2
TCGA-FA-8693-01	0.417705632451394	0.475156622739039	0.586674864049902	0.479589569040447	0.561753788098274	0.527973989365508	0.503802332294974	0.552234227738488	0.546755613854584	0.521585873758755	0.525429646315822	0.523652618503674	0.559428686751565	0.53189732578214	0.554627556608513	0.548065466554433	0.563676498177419	0.545135554321048	0.509456117527082	0.510483487337706	0.518262286329757	0.578338941437209
TCGA-FA-A4BB-01	0.465575232538172	0.504611010932574	0.593838061937817	0.506072526884936	0.568061320532211	0.543067078096892	0.525084298648764	0.559172436547409	0.577445045256643	0.55050858464227	0.548015838312559	0.5716035519389	0.577234094940874	0.536663179527277	0.553458857458599	0.544472699591304	0.558224432425238	0.561845297156737	0.520805215459541	0.547712443928007	0.542881057913419	0.566547632858342
TCGA-FA-A4XK-01	0.493371943498342	0.532131205633948	0.62022155009271	0.53674888622014	0.611236443853284	0.590365890127259	0.557196304467451	0.588195253220513	0.589873510580752	0.56728943101956	0.578950565510232	0.600029030593066	0.61957550975307	0.56947341396698	0.585141135839155	0.582653821908613	0.610934983106597	0.593550084784677	0.548000747831356	0.572700572044042	0.549200575518054	0.599379184978955
TCGA-FA-A6HN-01	0.49231675794587	0.530915525207508	0.60926672450931	0.523297451463754	0.595650881677274	0.548929104142895	0.543389896049461	0.583443304122798	0.594354446999191	0.571160022919189	0.57010829515737	0.586951454638332	0.580761268812652	0.561058541607221	0.570657874613573	0.572353728089549	0.566929060597689	0.57870296271728	0.543037543599925	0.573262455915167	0.545417742177671	0.57334854689537
TCGA-FA-A6HO-01	0.488405437404439	0.528065561485305	0.612381905052916	0.525185478676195	0.606921983413216	0.557452517730492	0.561694316392829	0.591872738302775	0.599639198745833	0.593896580374038	0.592559319659617	0.580635811900242	0.622863325044833	0.567794045709409	0.572981955162377	0.572589260168587	0.575272755834172	0.594001892375962	0.560295613221941	0.593741288854003	0.573910814850946	0.576284007951973
TCGA-FA-A7DS-01	0.488116661872755	0.526821431331641	0.616333590571363	0.51152322476272	0.592589285584961	0.557211551182053	0.538306752970447	0.57087369448022	0.592980735194216	0.571263870399614	0.575679117528355	0.588117274255789	0.605429966458443	0.543210511993911	0.572999844420567	0.555422921357907	0.58899573103069	0.592283036967792	0.548256963161554	0.568717870402279	0.54806373403719	0.592354886701647
TCGA-FA-A7Q1-01	0.509160373039995	0.554001498883633	0.67075798626951	0.585556120115416	0.666221763889948	0.621975447505726	0.615570596819867	0.638903201839798	0.632563449188388	0.628778856404723	0.614537257310766	0.619717038788065	0.646353125952601	0.639159050110682	0.636087609811155	0.654090848112115	0.636486651801971	0.6477176284568	0.607523801981646	0.624583733612994	0.551649928071322	0.640283462594964
TCGA-FA-A82F-01	0.482981208218914	0.522253048591621	0.596383203117295	0.524232841216649	0.593781660256735	0.57137080900383	0.548091082902125	0.570898951443695	0.582910259085875	0.571230399022729	0.567984044797144	0.610947009531663	0.622787507476848	0.550273295737647	0.568942984088412	0.562728543576805	0.595594158231713	0.593404340519301	0.54477614857175	0.569422349460547	0.539016343096915	0.596442513210856
TCGA-FA-A86F-01	0.474518291085354	0.518392540218815	0.617955836394662	0.528864585819222	0.5979052749919	0.557424931806745	0.550545220471482	0.580662545490546	0.586383351428267	0.57696691369807	0.579701778467358	0.588263107347191	0.607072700677024	0.555096287978583	0.572028082950066	0.568306554878472	0.57801675172799	0.589512328446047	0.549851964846292	0.580358834151225	0.559572351887134	0.582898090401551
TCGA-FF-8041-01	0.458501498898979	0.506048154689602	0.572311564111336	0.499622247433094	0.569473766720405	0.531169537605501	0.529053362965019	0.572500582871745	0.541593583406449	0.521347874352386	0.531702696440794	0.583341184212952	0.571284644471103	0.534301383304368	0.55979422214447	0.551985493514298	0.559239367013463	0.557155097316455	0.498284199743235	0.534646053854175	0.520085040120049	0.572090184849378
TCGA-FF-8042-01	0.466838257443855	0.502550954613031	0.573991221959862	0.509071353660915	0.582628606614508	0.559425801815834	0.542963547791985	0.583329727995287	0.570677693073188	0.556263376000601	0.566144776485984	0.58027116023315	0.604251528088611	0.558840546015071	0.562582064881509	0.566969419294324	0.563536577431053	0.577652025750503	0.536266188394805	0.549424621222248	0.547358308281675	0.579414302210052
TCGA-FF-8043-01	0.451626391062062	0.486472295175126	0.576636347915968	0.521167530046181	0.585203311773941	0.566675610603693	0.540571760614036	0.571850727797753	0.556201660591054	0.548598225802968	0.552788073534696	0.609590447433795	0.610351636525348	0.560455388033854	0.578833213245976	0.579843543414203	0.574194884892861	0.585558910848943	0.523027290029094	0.554325920452071	0.50807007187614	0.587082866462113
TCGA-FF-8046-01	0.446780904170635	0.503633866232423	0.593745395366159	0.518932008401437	0.598363316365091	0.562179235382266	0.529191829528216	0.596332542837102	0.566022274074825	0.563621158116569	0.568796597800165	0.559997859684715	0.583008480451682	0.563022187615182	0.578305221895527	0.576627275760067	0.579633791605407	0.584192745960804	0.53938692497082	0.570377852580694	0.542886223593636	0.586252685009748
TCGA-FF-8047-01	0.477356799996737	0.520072846192521	0.640220561216292	0.559326311052726	0.627649732740088	0.592042606614518	0.590249665136549	0.610578176663346	0.613655674456801	0.609082597458265	0.603355184122502	0.610837732126076	0.64498060051727	0.607589582268011	0.591612063549193	0.60547157731708	0.591080059971547	0.613038082449521	0.578058586401303	0.597327186789657	0.561667222527594	0.595032469181254
