TCGA_barcode	AML193	EOL1	F36P	GDM1	HEL	HEL9217	HL60	KASUMI1	KASUMI6	KG1	M07E	ME1	MOLM13	MOLM16	MONOMAC1	MONOMAC6	MV411	NB4	NOMO1	OCIAML2	OCIAML3	OCIAML5	OCIM1	P31FUJ	PL21	SIGM5	SKM1	TF1	THP1
TCGA-AB-2805-03	0.646465060765579	0.683229881564165	0.556344399098028	0.673318849267684	0.532202525616588	0.549528278625909	0.625127142888346	0.616040609056385	0.671040555579771	0.681607114064016	0.568974226956224	0.645838818039999	0.641647322783048	0.548286207675345	0.66881314645849	0.634217460901049	0.636465819321936	0.60993522395253	0.66360285049299	0.685857503101855	0.606521243251028	0.661293704653729	0.52286847708732	0.64831227597489	0.665987227997506	0.656453975775533	0.590720410475914	0.55960623921372	0.591107486199481
TCGA-AB-2806-03	0.638811279898053	0.631415923699285	0.566987568549642	0.662983081794835	0.559380103280925	0.572577805007542	0.628788325498053	0.708825478558636	0.690218359181145	0.678128627648641	0.59622017059261	0.672185355122933	0.609264609680294	0.580160331712223	0.630636152657394	0.617669458892053	0.601159507166349	0.62462575418395	0.608899536866314	0.636903176720007	0.557231476462969	0.656894226002039	0.53938100126008	0.609137044636577	0.616133760797094	0.621062879047596	0.591093656074928	0.556429038233512	0.588603406014231
TCGA-AB-2808-03	0.670507120281479	0.661112374945616	0.59653323102491	0.660952894225289	0.572837804948629	0.59007372600787	0.681139424864932	0.636229664941218	0.693131486940046	0.689227528927701	0.610271306321674	0.652904053556676	0.622961049010281	0.59404284327185	0.652413078257452	0.625327725735229	0.613638543344495	0.640615890847175	0.6438339408592	0.67318872854336	0.579926738598086	0.670657740356341	0.55658830080464	0.638466404589861	0.658216272897604	0.652922482505227	0.605043697612069	0.585389596730745	0.596457423074024
TCGA-AB-2810-03	0.68976071417588	0.683736040113368	0.602038982937936	0.693011172102717	0.577187813868062	0.577388436935927	0.691398878185594	0.646634991241853	0.721987592135913	0.698934729362628	0.614644755350311	0.679635748471695	0.671731232192907	0.607786238332333	0.687052354420526	0.68066845138339	0.667642151924079	0.676342665688791	0.689348025788937	0.672926424019432	0.632672156593771	0.673246330286884	0.552729750736127	0.680332484592118	0.668962624423712	0.682199256038276	0.662743548192289	0.601890257696741	0.628018078495715
TCGA-AB-2811-03	0.680106116478209	0.695856090882232	0.594200610979654	0.684982992501917	0.569984958961512	0.563481089246755	0.677821311025749	0.626186288676209	0.716509870630315	0.692583389726279	0.602727388486275	0.677922732335057	0.697055472056609	0.58573305652656	0.714530277968309	0.677758968789245	0.702569740530516	0.664700723690263	0.705012833496296	0.697141354013879	0.657962047741958	0.687530844715136	0.541715241887548	0.675365225136717	0.6715314989575	0.697096751866373	0.653506774490169	0.600622351842109	0.630990741796673
TCGA-AB-2812-03	0.665305832166569	0.669928021001723	0.575670295313475	0.681939584434144	0.563358396650578	0.576752359422579	0.666539227481796	0.654183973916119	0.756294076223453	0.699113016330622	0.59773685264101	0.671592994161484	0.6510652759861	0.580825722288434	0.666325783133478	0.666510553857157	0.6469737306024	0.654467596773691	0.65277932219645	0.673383566879208	0.591592713029678	0.656127030060328	0.551804655747007	0.651408575543598	0.643870964979639	0.646751799664183	0.614183628058694	0.585118163229821	0.608935546046648
TCGA-AB-2813-03	0.694846151977426	0.684090558741134	0.571586454190508	0.665549748160144	0.549258136003103	0.559240490181865	0.690252326067733	0.630696072032333	0.671934133312251	0.695055645761493	0.569669259146111	0.637191582864947	0.665020613935859	0.568091100028438	0.702849271778539	0.6715330999333	0.660982070982816	0.646917993401835	0.694210026891027	0.708570707727045	0.64861375745876	0.680590770693899	0.533968012652757	0.676882460226236	0.698983653175757	0.691896175118579	0.633686276186026	0.5729868381025	0.644685003345292
TCGA-AB-2814-03	0.657929440038671	0.636275070640129	0.5554733480819	0.704571322537097	0.551900953694946	0.574088240610894	0.630552051947539	0.643832250982763	0.6833275591791	0.722055117741404	0.58936035468888	0.656458312959798	0.609364942364397	0.581623302388212	0.624416394813621	0.622676542659331	0.60332281215493	0.619798503532992	0.623675796704466	0.631466763561566	0.571217799690451	0.638578335424795	0.533546998220904	0.627152654837864	0.622568205723433	0.620947383964704	0.602650976530345	0.571539777180409	0.581194933890167
TCGA-AB-2815-03	0.67954639754652	0.695147161223389	0.577586546820692	0.679997559432803	0.558752531965855	0.568806354887818	0.689452566980212	0.653146091261503	0.685216541317623	0.689493546647715	0.593481656670412	0.699224073661466	0.678828955638978	0.572118735285413	0.705619766907352	0.663370549310379	0.677601151445775	0.662705120271398	0.69322452563527	0.728909962601726	0.639535795413556	0.692950444884287	0.531995463540197	0.666827626237805	0.695212605540402	0.700281793926401	0.640951528551131	0.585037862179093	0.642752262497533
TCGA-AB-2817-03	0.670035647343749	0.666681742994294	0.594515877531618	0.699981610691994	0.586343251183153	0.598093481703448	0.654419104903236	0.656125884680917	0.6911663713845	0.718010504632829	0.599830739068584	0.681641852275124	0.645520906231075	0.58671546694407	0.662641685564948	0.641647035621874	0.632453951051932	0.628648663827555	0.660636940397736	0.678860658398533	0.608888921911136	0.675919212460285	0.548441318653365	0.641777485637719	0.654148855996007	0.663959249676149	0.626891226735287	0.597372736713373	0.61583986367682
